,artist,title,Wonder,Transcendence,Nostalgia,Tenderness,Peacefulness,Joy,Power,Tension,Sadness,Spotify ID,Youtube ID,genre,Path
12,Hot Chocolate,You Sexy Thing,4,2,5,4,4,5,4,1,1,714hERk9U1W8FMYkoC83CO,,funk_soul,tracks/714hERk9U1W8FMYkoC83CO.mp3
13,The Saturdays,Forever Is Over,3,3,3,2,1,4,5,2,2,6mSqWsqiv9LLPPKxrwh3yU,,pop,tracks/6mSqWsqiv9LLPPKxrwh3yU.mp3
14,Carpenters,We've Only Just Begun,4,3,5,5,5,4,1,1,2,3m167vBQI5YLK0a1m6L6Y1,,pop,tracks/3m167vBQI5YLK0a1m6L6Y1.mp3
15,Jam & Spoon,Right in the Night (Fall in Love With Music),3,4,4,3,4,5,5,2,2,6x6G0shZs4Qg4YLfLbhR7z,,electronic,tracks/6x6G0shZs4Qg4YLfLbhR7z.mp3
16,Novos Baianos,Curto De Vï¿½u E Grinalda,2,2,2,1,1,5,5,3,1,7rFNyShNdXvg4j6qK9lBSC,,funk_soul,tracks/7rFNyShNdXvg4j6qK9lBSC.mp3
17,Bjï¿½rk,Possibly Maybe (Live),2,2,2,3,3,2,1,3,3,4SngFKTnu9FbOldhGvHUlG,,electronic,tracks/4SngFKTnu9FbOldhGvHUlG.mp3
18,Cult of Luna,Finland,2,3,1,1,2,2,5,5,2,3N8cK1O5u0RawDBbP4a0hc,,rock,tracks/3N8cK1O5u0RawDBbP4a0hc.mp3
19,IU,The red shoes,4,3,3,2,2,5,5,3,1,3atsk5EWI5fNxLMIJnfYfJ,,jazz,tracks/3atsk5EWI5fNxLMIJnfYfJ.mp3
20,Zero 7,In the Waiting Line,3,3,4,5,5,4,2,2,2,5ARrtxJLVCeTv5TWo1oKgC,,electronic,tracks/5ARrtxJLVCeTv5TWo1oKgC.mp3
21,Jorge Ben Jor,"Mas, Que Nada!",3,4,5,5,5,5,2,2,2,6U03Orwr5Dxt8jahLnQpYV,,jazz,tracks/6U03Orwr5Dxt8jahLnQpYV.mp3
22,Bobby Caldwell,Open Your Eyes,2,2,5,5,5,5,3,1,1,1Yrgyxebkguu4MGFkDoINo,,jazz,tracks/1Yrgyxebkguu4MGFkDoINo.mp3
23,Fiona Apple,The First Taste,3,4,4,5,5,2,2,2,3,21Xc8hEIzv81jwiftI4hJB,,jazz,tracks/21Xc8hEIzv81jwiftI4hJB.mp3
24,Tamar Braxton,Sound of Love,2,2,1,1,2,2,2,5,2,1QSNwan8EvZeJhuDag0aqX,,funk_soul,tracks/1QSNwan8EvZeJhuDag0aqX.mp3
25,Cï¿½line Dion,Je crois toi,4,4,4,5,4,1,2,2,4,3CehtvHVAVPaaukPIIL67r,,pop,tracks/3CehtvHVAVPaaukPIIL67r.mp3
26,Submotion Orchestra,Variations,2,1,1,4,5,1,1,1,1,3qzxORCDY3UpbvT7p7WYIE,,electronic,tracks/3qzxORCDY3UpbvT7p7WYIE.mp3
27,Rilo Kiley,It Just Is,5,3,5,4,4,2,2,1,5,26tR002TUAcmtfBLR7hVnS,,pop,tracks/26tR002TUAcmtfBLR7hVnS.mp3
28,The Weeknd,Wicked Games,5,4,4,5,5,4,5,2,2,6VwBbL8CzPiC4QV66ay7oR,,electronic,tracks/6VwBbL8CzPiC4QV66ay7oR.mp3
29,John Farnham,Age of Reason,3,2,3,2,3,4,3,2,1,3LQde40NABYOH14hWse0Yi,,rock,tracks/3LQde40NABYOH14hWse0Yi.mp3
30,Duffy,Rockferry,2,2,3,3,4,1,2,1,3,78twQ5XCFJMTE37ZSU0gsj,,funk_soul,tracks/78twQ5XCFJMTE37ZSU0gsj.mp3
31,Sarah Vaughan,Misty,2,1,4,2,4,5,2,2,1,7gHFBNy0Qn86xGKJ9OdFTw,,jazz,tracks/7gHFBNy0Qn86xGKJ9OdFTw.mp3
32,Avril Lavigne,Wish You Were Here,3,3,5,5,3,5,4,3,3,5XHf9PBxxHmJFuiDkGNIOA,,rock,tracks/5XHf9PBxxHmJFuiDkGNIOA.mp3
33,October Tide,Blackness Devours,3,4,1,1,1,2,5,5,3,5KjDr2aEWTdOxdOs4gcuac,,rock,tracks/5KjDr2aEWTdOxdOs4gcuac.mp3
34,Ridgewalkers,Find (Andy Moor Remix),4,5,4,3,3,5,5,4,2,5DpHrixQf7FfpAQJLAX2Fw,,electronic,tracks/5DpHrixQf7FfpAQJLAX2Fw.mp3
35,Alcazar,This Is The World We Live In,3,3,4,2,2,5,5,1,1,6HuwtnWUE0Y7MKUvoOyb2F,,pop,tracks/6HuwtnWUE0Y7MKUvoOyb2F.mp3
36,Dinah Washington,Cry Me a River,4,4,5,5,5,4,4,2,5,4ydtQJImyQg6UDFFZBzgxp,,jazz,tracks/4ydtQJImyQg6UDFFZBzgxp.mp3
37,Boney M.,Rasputin,2,3,5,1,2,5,5,2,1,5jkFvD4UJrmdoezzT1FRoP,,funk_soul,tracks/5jkFvD4UJrmdoezzT1FRoP.mp3
38,Donna Summer,Winter Melody,4,4,5,5,5,5,4,1,2,1zHOjqf8DqjNq6OB7Y5mrF,,funk_soul,tracks/1zHOjqf8DqjNq6OB7Y5mrF.mp3
39,Tonight Alive,Let It Land,2,4,5,1,2,5,5,3,2,3aKPJyIFrJAPTPWs2yy0IX,,rock,tracks/3aKPJyIFrJAPTPWs2yy0IX.mp3
40,My Dying Bride,Your River,2,2,2,1,2,1,4,5,2,6FMcHZ5FuBpPkD4IHVyrM9,,rock,tracks/6FMcHZ5FuBpPkD4IHVyrM9.mp3
41,Sara Bareilles,Undertow,4,4,4,5,5,5,3,1,2,0tozhA4AZE7kDEvlcxCzP1,,rock,tracks/0tozhA4AZE7kDEvlcxCzP1.mp3
42,Leona Lewis,Bleeding Love,3,2,5,5,4,4,5,1,3,7wZUrN8oemZfsEd1CGkbXE,,pop,tracks/7wZUrN8oemZfsEd1CGkbXE.mp3
43,Anathema,Crestfallen,1,1,1,1,1,1,4,5,2,3Ca1PahHy0AowFpNwHzJM2,,rock,tracks/3Ca1PahHy0AowFpNwHzJM2.mp3
44,Submotion Orchestra,Eyeline,4,3,2,2,2,2,4,2,2,2sqeVVvHRuskC1E4nA1Xls,,electronic,tracks/2sqeVVvHRuskC1E4nA1Xls.mp3
45,September,R.I.P.,2,1,2,2,1,5,4,2,1,4BPyxkPrDW7tsb86HUnb04,,electronic,tracks/4BPyxkPrDW7tsb86HUnb04.mp3
46,Djavan,Serrado,2,1,2,2,4,5,2,2,1,7EjRiBMib2EG0cdMEXavbC,,jazz,tracks/7EjRiBMib2EG0cdMEXavbC.mp3
47,Christina Aguilera,Something's Got a Hold on Me,3,2,4,2,3,5,5,1,1,2CVMTJWBqbtaCWNWbcBZae,,funk_soul,tracks/2CVMTJWBqbtaCWNWbcBZae.mp3
48,Ana Carolina,"Tï¿½ rindo, ï¿½?",2,2,3,4,4,4,3,2,1,65GmViOSKcP7jK0wNqRs8r,,jazz,tracks/65GmViOSKcP7jK0wNqRs8r.mp3
49,The Whispers,And the Beat Goes On,4,2,4,3,4,5,4,2,1,7oQ1wkBmYSBEC2x7U08dvn,,funk_soul,tracks/7oQ1wkBmYSBEC2x7U08dvn.mp3
50,Cobra Starship,"One Day, Robots Will Cry",2,3,4,2,2,5,5,3,1,76ohTRgQXmyTJrt8rgMbH2,,rock,tracks/76ohTRgQXmyTJrt8rgMbH2.mp3
51,Yellowcard,Everywhere,4,5,5,1,1,5,5,2,2,4A3H0I1iSmYiHh5IScsBX5,,rock,tracks/4A3H0I1iSmYiHh5IScsBX5.mp3
52,Portishead,Glory Box,4,3,5,5,4,3,2,1,2,3Ty7OTBNSigGEpeW2PqcsC,,electronic,tracks/3Ty7OTBNSigGEpeW2PqcsC.mp3
53,Rihanna,Diamonds,5,3,5,4,4,5,5,1,1,1z9kQ14XBSN0r2v6fx4IdG,,pop,tracks/1z9kQ14XBSN0r2v6fx4IdG.mp3
54,Al Green,Let's Stay Together,4,4,5,5,5,5,3,1,1,63xdwScd1Ai1GigAwQxE8y,,funk_soul,tracks/63xdwScd1Ai1GigAwQxE8y.mp3
55,New Found Glory,This Disaster,2,3,3,1,1,5,5,4,2,2VHAQ84pzRe11YdMUDZzMZ,,rock,tracks/2VHAQ84pzRe11YdMUDZzMZ.mp3
56,All Time Low,Time-Bomb,3,2,4,2,2,5,5,4,2,2qqn52sp9dDk2F9PdTrpwZ,,rock,tracks/2qqn52sp9dDk2F9PdTrpwZ.mp3
57,The Ink Spots,I Don't Want to Set the World on Fire,3,3,5,5,5,3,1,1,3,777zXDJpBufzttU4AJ2dGO,,jazz,tracks/777zXDJpBufzttU4AJ2dGO.mp3
58,The Weeknd,The Town,4,3,2,3,2,2,3,4,2,7jGr8wzgwOVLuktY66qM5f,,electronic,tracks/7jGr8wzgwOVLuktY66qM5f.mp3
59,"Earth, Wind & Fire",Boogie Wonderland,3,3,5,2,3,5,5,1,1,6ztstiyZL6FXzh4aG46ZPD,,funk_soul,tracks/6ztstiyZL6FXzh4aG46ZPD.mp3
60,Sister Sledge,Frankie,3,2,5,5,5,5,3,1,2,6th7K3C0mmxk5AlT4x4oro,,funk_soul,tracks/6th7K3C0mmxk5AlT4x4oro.mp3
61,The Andrews Sisters,In the Mood,4,3,4,1,2,5,5,2,1,6jO6eAQG1JW7fel2csJ5XQ,,jazz,tracks/6jO6eAQG1JW7fel2csJ5XQ.mp3
62,Deee-Lite,Apple Juice Kissing,2,1,2,4,2,2,2,2,1,7fh5bhI5rzRBcSX9IKFNir,,electronic,tracks/7fh5bhI5rzRBcSX9IKFNir.mp3
63,Shpongle,I Am You,2,2,1,1,1,3,3,5,1,3k3RK6cRZa165izv0rTv4Z,,electronic,tracks/3k3RK6cRZa165izv0rTv4Z.mp3
64,Nicki Minaj,Starships,3,4,2,2,2,5,5,4,1,1oHNvJVbFkexQc0BpQp7Y4,,pop,tracks/1oHNvJVbFkexQc0BpQp7Y4.mp3
65,Squirrel Nut Zippers,Low Down Man,3,2,5,5,5,1,1,2,4,0Ta1U180vOfj8LlhUM1Qvh,,jazz,tracks/0Ta1U180vOfj8LlhUM1Qvh.mp3
66,George Benson,Turn Your Love Around,4,4,5,5,5,5,4,1,1,6a899bXlCuViXW2Qs8Rdqo,,jazz,tracks/6a899bXlCuViXW2Qs8Rdqo.mp3
67,Itamar Assumpï¿½ï¿½o,Beijo na Boca,3,1,2,2,4,5,3,1,1,034M638G8hvIQ5WfSxJ9gS,,funk_soul,tracks/034M638G8hvIQ5WfSxJ9gS.mp3
68,The Pointer Sisters,He's So Shy,3,2,5,5,3,4,4,1,2,6R9NqD0WX9sJYs6PbA5onu,,funk_soul,tracks/6R9NqD0WX9sJYs6PbA5onu.mp3
69,James Brown,Funky Drummer,2,2,4,2,2,5,5,3,1,0VbpqlboEkGQ7Pu6juJljZ,,funk_soul,tracks/0VbpqlboEkGQ7Pu6juJljZ.mp3
70,Atomic Kitten,It's OK!,2,3,4,3,5,4,3,1,3,7fQrbv4s2XyMwVCIKenI26,,pop,tracks/7fQrbv4s2XyMwVCIKenI26.mp3
71,Vinï¿½cius de Moraes,Samba em Prelï¿½dio,4,3,5,5,5,2,1,1,3,7yYKjc8k6UrqeBig0bDeFy,,jazz,tracks/7yYKjc8k6UrqeBig0bDeFy.mp3
72,Chet Baker,The Thrill Is Gone,5,4,5,5,5,1,1,1,5,0kKQreifydSOeqZzHkNW67,,jazz,tracks/0kKQreifydSOeqZzHkNW67.mp3
73,Gino Vannelli,Wheels Of Life,4,2,5,5,5,3,3,1,3,7uE9ZeScOg28zFE7OHQxuR,,jazz,tracks/7uE9ZeScOg28zFE7OHQxuR.mp3
74,The Chakachas,Jungle Fever,2,2,1,2,2,4,2,4,1,2QEhVc7hg5Z5yI8UPOSRk8,,funk_soul,tracks/2QEhVc7hg5Z5yI8UPOSRk8.mp3
75,Jennifer Hudson,Moan,4,4,5,5,5,3,5,1,4,5jpo5CggeyVEQSHoXVhBqh,,funk_soul,tracks/5jpo5CggeyVEQSHoXVhBqh.mp3
76,Bosson,One In A Million,4,2,4,5,3,5,3,1,2,3y1cXTre9LcmTxgqbKSqZY,,pop,tracks/3y1cXTre9LcmTxgqbKSqZY.mp3
77,Melody Gardot,Worrisome Heart,4,3,5,5,5,4,4,2,2,3zh5km8gPDYMiWvmLTsos0,,jazz,tracks/3zh5km8gPDYMiWvmLTsos0.mp3
78,Michael Jackson,Love Never Felt So Good,3,3,3,4,1,5,5,1,1,48td6xvpokdYwvbl3JIiXP,,funk_soul,tracks/48td6xvpokdYwvbl3JIiXP.mp3
79,Emika,Drop the Other,4,5,3,2,3,4,5,4,2,1sHoqPtMfaZML6P77Q586a,,electronic,tracks/1sHoqPtMfaZML6P77Q586a.mp3
80,MFSB,T.S.O.P. (The Sound Of Philadelphia),3,3,4,2,2,5,5,2,1,7kllQQPam6HumbUCIPSvHJ,,funk_soul,tracks/7kllQQPam6HumbUCIPSvHJ.mp3
81,Avril Lavigne,I'm with You,3,2,5,5,3,2,3,1,3,1jlG3KJ3gdYmhfuySFfpO1,,rock,tracks/1jlG3KJ3gdYmhfuySFfpO1.mp3
82,Sï¿½bastien Tellier,La Ritournelle,4,3,5,5,5,1,1,1,5,0qG1teoBvooRo7Z5Z8edCk,,electronic,tracks/0qG1teoBvooRo7Z5Z8edCk.mp3
83,Strike,O Teu Olhar,2,2,2,1,1,5,5,4,1,4wGDJMUhcFy1j7XWo5ve4K,,rock,tracks/4wGDJMUhcFy1j7XWo5ve4K.mp3
84,Chicane,Autumn Tactics,3,2,3,3,4,3,2,2,3,7LmG4gBYF7T53JVfgVVFKy,,electronic,tracks/7LmG4gBYF7T53JVfgVVFKy.mp3
85,Katatonia,Teargas,2,3,2,1,1,2,3,4,4,31kIDIQFtTgVhV6KDwt1PV,,rock,tracks/31kIDIQFtTgVhV6KDwt1PV.mp3
86,Kool & The Gang,Celebration,4,2,5,2,3,5,5,1,1,3K7Q9PHUWPTaknlbFPThn2,,funk_soul,tracks/3K7Q9PHUWPTaknlbFPThn2.mp3
87,Cerrone,Give Me Love,4,3,5,3,4,5,4,2,2,30EaKbkhCzCAxVccAaYzGA,,funk_soul,tracks/30EaKbkhCzCAxVccAaYzGA.mp3
88,We the Kings,All Again for You,2,2,4,2,2,5,5,2,2,1zMc2ZD35IDeYlNANbnF0w,,rock,tracks/1zMc2ZD35IDeYlNANbnF0w.mp3
89,Jamiroquai,Automaton,3,3,2,1,2,5,5,4,1,42dJ29C11xlJTLkRVmKty1,,funk_soul,tracks/42dJ29C11xlJTLkRVmKty1.mp3
90,Paradise Lost,True Belief,2,3,1,1,1,2,4,4,2,3mfwwUEFwXERswYBqhKcTC,,rock,tracks/3mfwwUEFwXERswYBqhKcTC.mp3
91,Paramore,That's What You Get,2,2,5,2,1,5,5,2,1,1JdKrFyoU05abww0Zv0ayQ,,rock,tracks/1JdKrFyoU05abww0Zv0ayQ.mp3
92,Diana Ross,The Best Years Of My Life,2,1,4,5,5,1,1,1,4,7xTAPIggS2K1UcTF0HXkak,,funk_soul,tracks/7xTAPIggS2K1UcTF0HXkak.mp3
93,Flunk,Six Seven Times,4,3,4,3,5,2,2,1,4,2jknEB3TLUX5vEaLI4gttE,,electronic,tracks/2jknEB3TLUX5vEaLI4gttE.mp3
94,Candlemass,Solitude,2,4,1,1,1,2,5,5,3,0v3WyEt2g04WFpfVwcnfXm,,rock,tracks/0v3WyEt2g04WFpfVwcnfXm.mp3
95,The Format,I'm Actual,3,3,5,4,2,3,4,2,3,2eHZ6UoAycNv99qKz4PVPg,,pop,tracks/2eHZ6UoAycNv99qKz4PVPg.mp3
96,Teena Marie,Revolution,1,3,3,1,2,4,3,1,2,7re1yRjy442DIAIVUgCaBN,,funk_soul,tracks/7re1yRjy442DIAIVUgCaBN.mp3
97,Ashlee Simpson,Beautifully Broken,3,2,3,3,2,4,3,1,3,0Z5TwodaWvDGq43AVdnKzn,,pop,tracks/0Z5TwodaWvDGq43AVdnKzn.mp3
98,Al Jarreau,Ain't No Sunshine,3,2,5,5,4,5,4,2,3,0Res4ooR61zc5T7m2Fswog,,jazz,tracks/0Res4ooR61zc5T7m2Fswog.mp3
99,Lana Del Rey,Born to Die,3,2,5,4,4,1,2,2,5,487OPlneJNni3NWC8SYqhW,,pop,tracks/487OPlneJNni3NWC8SYqhW.mp3
100,Ambrosia,You're the Only Woman,2,2,5,5,3,4,3,1,2,11qmuUlW5q5diLiVSOlsSF,,jazz,tracks/11qmuUlW5q5diLiVSOlsSF.mp3
101,Justin Timberlake,Cry Me a River,3,2,5,2,3,5,3,2,3,7Lf7oSEVdzZqTA0kEDSlS5,,pop,tracks/7Lf7oSEVdzZqTA0kEDSlS5.mp3
102,Michael Bublï¿½,Feeling Good,2,2,5,3,4,2,2,2,1,3I09LQbHS3NSU46Ly3tPpR,,jazz,tracks/3I09LQbHS3NSU46Ly3tPpR.mp3
103,Diana Ross,Upside Down,4,3,5,5,4,5,5,1,1,3pbtBomO4Zt5gGiqsYeiBH,,funk_soul,tracks/3pbtBomO4Zt5gGiqsYeiBH.mp3
104,Marianas Trench,Good To You,2,1,2,3,1,4,5,2,2,3eDBBDWXkmH6chzPZhuajx,,rock,tracks/3eDBBDWXkmH6chzPZhuajx.mp3
105,Prince & The Revolution,Purple Rain,4,5,5,2,2,2,4,2,2,54X78diSLoUDI3joC2bjMz,,rock,tracks/54X78diSLoUDI3joC2bjMz.mp3
106,Lily Allen,Air Balloon,3,3,2,4,3,5,3,1,1,1DIS8YXZKxePLmY7Z8UC4I,,pop,tracks/1DIS8YXZKxePLmY7Z8UC4I.mp3
107,Louis Armstrong,What a Wonderful World,5,4,5,5,5,5,3,1,2,29U7stRjqHU6rMiS8BfaI9,,jazz,tracks/29U7stRjqHU6rMiS8BfaI9.mp3
108,Madonna,Gang Bang,3,4,2,1,2,4,5,4,1,5IYWdpFJAeKLggc7B8xtJm,,electronic,tracks/5IYWdpFJAeKLggc7B8xtJm.mp3
109,Electric Wizard,The Chosen Few,2,3,2,2,2,2,4,4,2,5qN4DbKNNuIIe7xSlJPco0,,rock,tracks/5qN4DbKNNuIIe7xSlJPco0.mp3
110,Donna Summer,Autumn Changes,1,1,2,3,2,5,3,2,2,4LldsyhaiUL5tcP5uxDBkx,,funk_soul,tracks/4LldsyhaiUL5tcP5uxDBkx.mp3
111,blink-182,The Girl Next Door,2,2,1,1,1,2,3,4,2,2YmvU7tSabJfECLUutSXJ1,,rock,tracks/2YmvU7tSabJfECLUutSXJ1.mp3
112,Village People,Go West,2,1,5,2,2,5,5,2,1,5v67uga7IFT3FQhDDBgaY8,,funk_soul,tracks/5v67uga7IFT3FQhDDBgaY8.mp3
113,Melanie C,"Yeh, Yeh, Yeh",2,1,3,1,2,5,5,3,1,5gEkWBFaVUjzY7Y3sw35UU,,pop,tracks/5gEkWBFaVUjzY7Y3sw35UU.mp3
114,Norah Jones,Humble Me,5,4,5,5,5,1,2,1,5,7BboupyTdAr1nmMJZw0V4h,,jazz,tracks/7BboupyTdAr1nmMJZw0V4h.mp3
115,Paradise Lost,Gone,3,2,4,2,4,2,4,2,5,7C05KE8DAyWoM4yoEOaq6m,,rock,tracks/7C05KE8DAyWoM4yoEOaq6m.mp3
116,Morcheeba,Rome Wasn't Built in a Day,4,3,5,5,5,4,3,2,2,6lsumzVFKP9SnfKcuGwqVp,,pop,tracks/6lsumzVFKP9SnfKcuGwqVp.mp3
117,Hozier,Take Me to Church,5,5,5,4,5,4,5,3,4,1CS7Sd1u5tWkstBhpssyjP,,funk_soul,tracks/1CS7Sd1u5tWkstBhpssyjP.mp3
118,Chico Buarque,Sonho De Um Carnaval,2,2,3,3,5,3,1,1,2,6VlapIlYfqtoiWsE0DZUsE,,jazz,tracks/6VlapIlYfqtoiWsE0DZUsE.mp3
119,Kendrick Lamar,King Kunta,1,2,2,1,1,5,5,4,1,0N3W5peJUQtI4eyR6GJT5O,,funk_soul,tracks/0N3W5peJUQtI4eyR6GJT5O.mp3
120,Owl City,Fireflies,4,4,5,4,4,5,3,2,2,3DamFFqW32WihKkTVlwTYQ,,pop,tracks/3DamFFqW32WihKkTVlwTYQ.mp3
121,Neurosis,Fear and Sickness,2,2,1,1,1,1,5,5,1,2sXYiWVdddj45DruzNKJGC,,rock,tracks/2sXYiWVdddj45DruzNKJGC.mp3
122,The Temptations,My Girl,3,2,5,5,4,5,3,1,2,745H5CctFr12Mo7cqa1BMH,,funk_soul,tracks/745H5CctFr12Mo7cqa1BMH.mp3
123,Descendents,Silly Girl,1,2,2,2,1,3,5,3,1,1o0cObpbURSTFEoXSgmL6a,,rock,tracks/1o0cObpbURSTFEoXSgmL6a.mp3
124,Michael Learns to Rock,Paint My Love,3,2,5,5,5,3,1,1,3,523iOSL6R2OomhVMGcfxdy,,pop,tracks/523iOSL6R2OomhVMGcfxdy.mp3
125,A*Teens,Rockin',2,1,3,2,2,5,2,1,1,66Ic3dIvBMBV7Oc4PUjw5w,,pop,tracks/66Ic3dIvBMBV7Oc4PUjw5w.mp3
126,Mark Ronson,Uptown Funk,2,3,4,3,1,5,5,2,1,32OlwWuMpZ6b0aN2RZOeMS,,funk_soul,tracks/32OlwWuMpZ6b0aN2RZOeMS.mp3
127,Apparat,Black Water,3,4,3,3,3,2,3,2,4,3mFu6HJLVeyyUyTS1EkHFP,,electronic,tracks/3mFu6HJLVeyyUyTS1EkHFP.mp3
128,Sarah Vaughan,He's My Guy,3,2,4,4,5,5,4,1,1,5Po3D0fxlUpQTciXYWOmnJ,,jazz,tracks/5Po3D0fxlUpQTciXYWOmnJ.mp3
129,Pinball,Come Into My Dream,3,2,2,2,2,5,4,3,1,2JPFEnjLROchH7qqoRy9Vl,,electronic,tracks/2JPFEnjLROchH7qqoRy9Vl.mp3
130,Heidi Montag,Love It or Leave It,2,2,2,1,2,4,3,3,1,25pVbxHtM3TdDA6hHwvLfW,,pop,tracks/25pVbxHtM3TdDA6hHwvLfW.mp3
131,The Bug,Poison Dart,2,2,2,2,2,3,2,5,1,7k9XruEHhkEH1I2epEHERo,,electronic,tracks/7k9XruEHhkEH1I2epEHERo.mp3
132,Hey Monday,Set Off,1,3,2,2,1,5,5,2,1,0D5q7zxMaeQ9ekjuTQiryo,,rock,tracks/0D5q7zxMaeQ9ekjuTQiryo.mp3
133,Above & Beyond,Alchemy,3,5,1,2,3,3,4,2,2,0Xm3H8qUhiUALrZYJyf61f,,electronic,tracks/0Xm3H8qUhiUALrZYJyf61f.mp3
134,WJSN,HURRY UP,2,2,2,1,1,5,4,2,1,1lAuz7VJzbhhYHTQ11JE12,,jazz,tracks/1lAuz7VJzbhhYHTQ11JE12.mp3
135,Anathema,Judgement,2,2,3,1,1,4,5,5,2,0jQxDAN0CBuIdAqbR4OnzV,,rock,tracks/0jQxDAN0CBuIdAqbR4OnzV.mp3
136,Belleruche,Anything You Want (Not That),2,2,3,2,3,4,2,2,1,41fe96o3cxCfvINxcxEe4R,,funk_soul,tracks/41fe96o3cxCfvINxcxEe4R.mp3
137,Lasgo,Alone,1,2,2,1,1,4,4,3,1,6hVdYM1RKjPIYv17KJ6Cll,,electronic,tracks/6hVdYM1RKjPIYv17KJ6Cll.mp3
138,Evelyn Thomas,High Energy,2,2,3,1,1,5,5,4,1,2O3JCRH7IvUUbzbxEvoVAi,,funk_soul,tracks/2O3JCRH7IvUUbzbxEvoVAi.mp3
139,Faithless,Insomnia,1,1,1,1,2,1,1,5,1,7gWc0QEt2hoIkMv3XxPY1T,,electronic,tracks/7gWc0QEt2hoIkMv3XxPY1T.mp3
140,Good Charlotte,I Don't Wanna Be In Love (Dance Floor Anthem),2,2,4,1,2,5,5,2,1,36UVZPoK8a1Oxh13cY8kOp,,rock,tracks/36UVZPoK8a1Oxh13cY8kOp.mp3
141,Bonobo,Nightlite,5,4,3,2,4,4,4,2,2,1gI1nC5E3ObyMtejdc8crP,,electronic,tracks/1gI1nC5E3ObyMtejdc8crP.mp3
142,Flux Pavilion,I Can't Stop,4,5,2,2,2,5,5,5,1,5WSL7UTa38jMWoBzObD4BD,,electronic,tracks/5WSL7UTa38jMWoBzObD4BD.mp3
143,Everything But the Girl,Low Tide Of The Night,4,4,5,4,5,4,2,1,1,06bJuoqZDzxSINQFREVLu0,,electronic,tracks/06bJuoqZDzxSINQFREVLu0.mp3
144,Babybird,You're Gorgeous,2,1,2,1,4,4,1,1,1,5COBer69wpwkCPPaLr1gFb,,pop,tracks/5COBer69wpwkCPPaLr1gFb.mp3
145,Wayne Newton,Danke Schoen,2,2,5,3,2,4,3,2,1,1BfbdFWT4wirsQ5BNgmN52,,jazz,tracks/1BfbdFWT4wirsQ5BNgmN52.mp3
146,Phil Collins,Against All Odds (Take a Look at Me Now),5,3,5,5,5,3,3,1,3,63CHa6rmamv9OsehkRD8oz,,rock,tracks/63CHa6rmamv9OsehkRD8oz.mp3
147,Nina Simone,That's All I Ask,4,3,5,5,4,2,3,1,5,5uI8omnLtzW4xTqJ5AoQtT,,jazz,tracks/5uI8omnLtzW4xTqJ5AoQtT.mp3
148,Lacrimas Profundere,The Crown of Leaving,3,3,3,2,3,2,3,4,3,7qNpAPSfPiLQ47cez2IpeW,,rock,tracks/7qNpAPSfPiLQ47cez2IpeW.mp3
149,Nero,My Eyes,3,4,2,1,2,3,5,5,1,4gMIZhJUOCjmQxo1fwhhnK,,electronic,tracks/4gMIZhJUOCjmQxo1fwhhnK.mp3
