,artist,title,Wonder,Transcendence,Nostalgia,Tenderness,Peacefulness,Joy,Power,Tension,Sadness,Spotify ID,path
15,Jam & Spoon,Right in the Night (Fall in Love With Music),20.92,29.33,23.33,19.33,22.58,40.83,33.25,11.58,8.33,6x6G0shZs4Qg4YLfLbhR7z,tracks/6x6G0shZs4Qg4YLfLbhR7z.mp3
16,Novos Baianos,Curto De Véu E Grinalda,13.47,12.68,9.68,7.16,7.0,33.68,38.84,18.21,2.26,7rFNyShNdXvg4j6qK9lBSC,tracks/7rFNyShNdXvg4j6qK9lBSC.mp3
17,Björk,Possibly Maybe (Live),14.75,13.3,13.45,20.65,20.9,11.4,4.45,18.1,17.45,4SngFKTnu9FbOldhGvHUlG,tracks/4SngFKTnu9FbOldhGvHUlG.mp3
18,Cult of Luna,Finland,10.85,20.15,5.15,2.77,10.46,12.15,44.23,50.77,10.46,3N8cK1O5u0RawDBbP4a0hc,tracks/3N8cK1O5u0RawDBbP4a0hc.mp3
19,IU,The red shoes,27.62,19.38,18.75,15.19,11.31,49.75,41.69,18.94,0.94,3atsk5EWI5fNxLMIJnfYfJ,tracks/3atsk5EWI5fNxLMIJnfYfJ.mp3
20,Zero 7,In the Waiting Line,19.79,16.14,26.36,31.5,42.21,25.21,10.0,8.64,9.86,5ARrtxJLVCeTv5TWo1oKgC,tracks/5ARrtxJLVCeTv5TWo1oKgC.mp3
21,Jorge Ben Jor,"Mas, Que Nada!",22.36,25.86,36.93,31.57,42.29,31.93,13.29,13.57,12.21,6U03Orwr5Dxt8jahLnQpYV,tracks/6U03Orwr5Dxt8jahLnQpYV.mp3
22,Bobby Caldwell,Open Your Eyes,15.81,14.44,42.44,31.06,40.88,38.88,21.12,5.62,3.56,1Yrgyxebkguu4MGFkDoINo,tracks/1Yrgyxebkguu4MGFkDoINo.mp3
23,Fiona Apple,The First Taste,19.85,22.69,26.38,32.62,38.77,15.27,14.35,7.81,21.08,21Xc8hEIzv81jwiftI4hJB,tracks/21Xc8hEIzv81jwiftI4hJB.mp3
24,Tamar Braxton,Sound of Love,11.82,8.29,7.29,7.47,8.12,10.41,14.29,35.88,11.76,1QSNwan8EvZeJhuDag0aqX,tracks/1QSNwan8EvZeJhuDag0aqX.mp3
25,Céline Dion,Je crois toi,28.93,28.71,26.57,41.0,30.36,6.5,12.5,13.14,29.14,3CehtvHVAVPaaukPIIL67r,tracks/3CehtvHVAVPaaukPIIL67r.mp3
26,Submotion Orchestra,Variations,10.39,7.39,6.44,25.33,33.83,4.28,2.39,5.83,6.94,3qzxORCDY3UpbvT7p7WYIE,tracks/3qzxORCDY3UpbvT7p7WYIE.mp3
27,Rilo Kiley,It Just Is,34.06,16.88,38.69,22.81,27.5,14.69,13.62,5.25,32.62,26tR002TUAcmtfBLR7hVnS,tracks/26tR002TUAcmtfBLR7hVnS.mp3
28,The Weeknd,Wicked Games,32.95,25.26,30.0,46.89,35.26,23.26,37.0,12.58,11.68,6VwBbL8CzPiC4QV66ay7oR,tracks/6VwBbL8CzPiC4QV66ay7oR.mp3
29,John Farnham,Age of Reason,16.94,10.56,20.11,8.39,16.33,25.33,21.78,11.28,5.56,3LQde40NABYOH14hWse0Yi,tracks/3LQde40NABYOH14hWse0Yi.mp3
30,Duffy,Rockferry,13.7,11.1,18.5,16.1,24.5,4.9,8.2,1.7,17.2,78twQ5XCFJMTE37ZSU0gsj,tracks/78twQ5XCFJMTE37ZSU0gsj.mp3
31,Sarah Vaughan,Misty,10.83,7.52,22.57,13.13,24.96,42.57,13.17,14.35,2.0,7gHFBNy0Qn86xGKJ9OdFTw,tracks/7gHFBNy0Qn86xGKJ9OdFTw.mp3
32,Avril Lavigne,Wish You Were Here,22.0,19.26,40.79,33.26,20.37,31.37,26.74,18.11,16.89,5XHf9PBxxHmJFuiDkGNIOA,tracks/5XHf9PBxxHmJFuiDkGNIOA.mp3
33,October Tide,Blackness Devours,17.07,25.33,7.6,2.13,3.27,12.87,42.8,47.27,16.8,5KjDr2aEWTdOxdOs4gcuac,tracks/5KjDr2aEWTdOxdOs4gcuac.mp3
34,Ridgewalkers,Find (Andy Moor Remix),29.93,33.86,28.14,20.71,18.86,40.64,46.5,23.5,12.57,5DpHrixQf7FfpAQJLAX2Fw,tracks/5DpHrixQf7FfpAQJLAX2Fw.mp3
35,Alcazar,This Is The World We Live In,18.29,20.47,30.18,13.94,11.94,49.0,45.12,6.88,2.12,6HuwtnWUE0Y7MKUvoOyb2F,tracks/6HuwtnWUE0Y7MKUvoOyb2F.mp3
36,Dinah Washington,Cry Me a River,29.0,28.55,38.45,40.36,37.0,24.0,29.64,12.91,34.18,4ydtQJImyQg6UDFFZBzgxp,tracks/4ydtQJImyQg6UDFFZBzgxp.mp3
37,Boney M.,Rasputin,15.0,22.25,31.25,2.05,9.35,64.95,51.6,12.9,0.7,5jkFvD4UJrmdoezzT1FRoP,tracks/5jkFvD4UJrmdoezzT1FRoP.mp3
38,Donna Summer,Winter Melody,29.32,23.11,35.63,36.47,45.47,45.84,22.84,7.11,15.74,1zHOjqf8DqjNq6OB7Y5mrF,tracks/1zHOjqf8DqjNq6OB7Y5mrF.mp3
39,Tonight Alive,Let It Land,12.56,22.78,35.39,6.61,9.5,40.0,37.83,19.17,13.78,3aKPJyIFrJAPTPWs2yy0IX,tracks/3aKPJyIFrJAPTPWs2yy0IX.mp3
40,My Dying Bride,Your River,9.57,13.71,13.71,1.24,8.05,6.48,29.57,42.0,14.67,6FMcHZ5FuBpPkD4IHVyrM9,tracks/6FMcHZ5FuBpPkD4IHVyrM9.mp3
41,Sara Bareilles,Undertow,28.68,22.91,28.36,43.36,37.41,30.95,20.27,7.41,10.77,0tozhA4AZE7kDEvlcxCzP1,tracks/0tozhA4AZE7kDEvlcxCzP1.mp3
42,Leona Lewis,Bleeding Love,18.39,13.67,44.61,35.89,22.94,30.67,37.22,3.78,20.44,7wZUrN8oemZfsEd1CGkbXE,tracks/7wZUrN8oemZfsEd1CGkbXE.mp3
43,Anathema,Crestfallen,4.44,6.69,2.69,1.69,5.56,5.0,25.06,51.62,13.94,3Ca1PahHy0AowFpNwHzJM2,tracks/3Ca1PahHy0AowFpNwHzJM2.mp3
44,Submotion Orchestra,Eyeline,25.67,18.73,12.67,10.87,14.73,10.93,23.67,14.2,11.6,2sqeVVvHRuskC1E4nA1Xls,tracks/2sqeVVvHRuskC1E4nA1Xls.mp3
45,September,R.I.P.,12.0,6.65,12.0,8.88,3.88,31.47,30.35,10.12,5.65,4BPyxkPrDW7tsb86HUnb04,tracks/4BPyxkPrDW7tsb86HUnb04.mp3
46,Djavan,Serrado,15.17,5.92,11.92,14.83,29.67,43.58,11.83,8.33,3.67,7EjRiBMib2EG0cdMEXavbC,tracks/7EjRiBMib2EG0cdMEXavbC.mp3
47,Christina Aguilera,Something's Got a Hold on Me,19.92,10.08,29.92,12.0,18.25,42.92,47.75,5.33,1.25,2CVMTJWBqbtaCWNWbcBZae,tracks/2CVMTJWBqbtaCWNWbcBZae.mp3
48,Ana Carolina,"Tá rindo, é?",15.8,9.85,18.2,27.45,30.3,25.65,16.1,10.05,1.65,65GmViOSKcP7jK0wNqRs8r,tracks/65GmViOSKcP7jK0wNqRs8r.mp3
49,The Whispers,And the Beat Goes On,23.65,15.5,30.55,18.55,24.85,51.3,23.7,11.1,5.75,7oQ1wkBmYSBEC2x7U08dvn,tracks/7oQ1wkBmYSBEC2x7U08dvn.mp3
50,Cobra Starship,"One Day, Robots Will Cry",12.38,21.52,28.52,14.86,13.24,43.05,46.38,19.05,5.0,76ohTRgQXmyTJrt8rgMbH2,tracks/76ohTRgQXmyTJrt8rgMbH2.mp3
51,Yellowcard,Everywhere,23.27,34.18,32.09,6.0,7.09,44.55,39.09,15.36,12.18,4A3H0I1iSmYiHh5IScsBX5,tracks/4A3H0I1iSmYiHh5IScsBX5.mp3
52,Portishead,Glory Box,29.18,16.09,33.55,36.73,25.09,17.73,13.36,2.27,13.09,3Ty7OTBNSigGEpeW2PqcsC,tracks/3Ty7OTBNSigGEpeW2PqcsC.mp3
53,Rihanna,Diamonds,43.0,21.82,35.55,23.55,24.73,58.91,47.36,4.18,5.82,1z9kQ14XBSN0r2v6fx4IdG,tracks/1z9kQ14XBSN0r2v6fx4IdG.mp3
54,Al Green,Let's Stay Together,24.93,25.57,33.43,51.64,42.36,44.93,16.5,7.14,7.36,63xdwScd1Ai1GigAwQxE8y,tracks/63xdwScd1Ai1GigAwQxE8y.mp3
55,New Found Glory,This Disaster,13.71,16.14,20.64,5.14,7.57,35.71,40.36,26.0,10.29,2VHAQ84pzRe11YdMUDZzMZ,tracks/2VHAQ84pzRe11YdMUDZzMZ.mp3
56,All Time Low,Time-Bomb,20.62,11.69,25.38,14.5,9.25,46.62,51.0,28.06,10.38,2qqn52sp9dDk2F9PdTrpwZ,tracks/2qqn52sp9dDk2F9PdTrpwZ.mp3
57,The Ink Spots,I Don't Want to Set the World on Fire,21.25,16.19,52.0,32.88,51.19,19.38,6.38,1.25,17.69,777zXDJpBufzttU4AJ2dGO,tracks/777zXDJpBufzttU4AJ2dGO.mp3
58,The Weeknd,The Town,24.28,17.67,14.89,19.11,14.83,15.22,18.0,26.28,9.06,7jGr8wzgwOVLuktY66qM5f,tracks/7jGr8wzgwOVLuktY66qM5f.mp3
59,"Earth, Wind & Fire",Boogie Wonderland,19.46,16.46,43.88,13.73,18.85,56.46,33.27,5.88,4.54,6ztstiyZL6FXzh4aG46ZPD,tracks/6ztstiyZL6FXzh4aG46ZPD.mp3
60,Sister Sledge,Frankie,22.0,12.56,46.12,39.69,37.88,49.06,21.12,7.19,11.69,6th7K3C0mmxk5AlT4x4oro,tracks/6th7K3C0mmxk5AlT4x4oro.mp3
61,The Andrews Sisters,In the Mood,24.67,18.53,30.4,6.93,13.8,56.13,36.27,7.93,0.8,6jO6eAQG1JW7fel2csJ5XQ,tracks/6jO6eAQG1JW7fel2csJ5XQ.mp3
62,Deee-Lite,Apple Juice Kissing,9.3,6.78,11.74,25.22,14.19,13.33,10.41,9.96,1.44,7fh5bhI5rzRBcSX9IKFNir,tracks/7fh5bhI5rzRBcSX9IKFNir.mp3
63,Shpongle,I Am You,9.93,15.43,2.79,2.79,1.86,20.29,17.57,32.64,1.86,3k3RK6cRZa165izv0rTv4Z,tracks/3k3RK6cRZa165izv0rTv4Z.mp3
64,Nicki Minaj,Starships,17.28,24.5,15.56,12.89,8.33,55.33,42.39,28.83,2.61,1oHNvJVbFkexQc0BpQp7Y4,tracks/1oHNvJVbFkexQc0BpQp7Y4.mp3
65,Squirrel Nut Zippers,Low Down Man,17.5,15.08,31.33,34.5,34.08,5.92,3.75,9.33,24.67,0Ta1U180vOfj8LlhUM1Qvh,tracks/0Ta1U180vOfj8LlhUM1Qvh.mp3
66,George Benson,Turn Your Love Around,24.54,27.54,42.31,36.77,38.0,51.85,26.92,4.38,5.31,6a899bXlCuViXW2Qs8Rdqo,tracks/6a899bXlCuViXW2Qs8Rdqo.mp3
67,Itamar Assumpção,Beijo na Boca,17.42,5.25,11.92,8.5,24.83,39.33,16.08,3.33,1.75,034M638G8hvIQ5WfSxJ9gS,tracks/034M638G8hvIQ5WfSxJ9gS.mp3
69,The Pointer Sisters,He's So Shy,16.14,14.71,32.0,34.43,21.21,28.64,24.21,6.21,8.57,6R9NqD0WX9sJYs6PbA5onu,tracks/6R9NqD0WX9sJYs6PbA5onu.mp3
70,James Brown,Funky Drummer,14.48,15.0,26.04,8.35,15.39,45.39,37.57,19.96,3.0,0VbpqlboEkGQ7Pu6juJljZ,tracks/0VbpqlboEkGQ7Pu6juJljZ.mp3
71,Atomic Kitten,It's OK!,13.36,19.73,26.55,22.18,34.82,28.91,16.27,5.64,15.91,7fQrbv4s2XyMwVCIKenI26,tracks/7fQrbv4s2XyMwVCIKenI26.mp3
72,Vinícius de Moraes,Samba em Prelúdio,29.77,18.15,35.23,37.15,32.31,14.85,4.92,2.15,19.85,7yYKjc8k6UrqeBig0bDeFy,tracks/7yYKjc8k6UrqeBig0bDeFy.mp3
73,Chet Baker,The Thrill Is Gone,33.83,27.0,37.08,41.42,55.08,3.67,3.0,6.67,47.08,0kKQreifydSOeqZzHkNW67,tracks/0kKQreifydSOeqZzHkNW67.mp3
74,Gino Vannelli,Wheels Of Life,28.74,13.58,38.16,48.89,31.26,17.84,18.63,1.37,19.0,7uE9ZeScOg28zFE7OHQxuR,tracks/7uE9ZeScOg28zFE7OHQxuR.mp3
75,The Chakachas,Jungle Fever,14.95,12.7,6.15,12.55,11.0,22.8,11.7,27.85,2.95,2QEhVc7hg5Z5yI8UPOSRk8,tracks/2QEhVc7hg5Z5yI8UPOSRk8.mp3
76,Jennifer Hudson,Moan,25.0,22.55,32.45,52.09,54.0,21.09,33.0,5.55,26.36,5jpo5CggeyVEQSHoXVhBqh,tracks/5jpo5CggeyVEQSHoXVhBqh.mp3
77,Bosson,One In A Million,23.65,13.65,25.53,34.82,20.47,37.0,21.76,6.29,14.12,3y1cXTre9LcmTxgqbKSqZY,tracks/3y1cXTre9LcmTxgqbKSqZY.mp3
78,Melody Gardot,Worrisome Heart,29.67,22.17,32.17,37.25,37.33,28.5,24.75,15.08,14.08,3zh5km8gPDYMiWvmLTsos0,tracks/3zh5km8gPDYMiWvmLTsos0.mp3
79,Michael Jackson,Love Never Felt So Good,20.08,18.38,21.77,30.54,5.92,55.23,37.46,6.54,3.69,48td6xvpokdYwvbl3JIiXP,tracks/48td6xvpokdYwvbl3JIiXP.mp3
80,Emika,Drop the Other,27.39,32.0,19.33,12.61,22.17,23.0,34.5,26.17,11.67,1sHoqPtMfaZML6P77Q586a,tracks/1sHoqPtMfaZML6P77Q586a.mp3
81,MFSB,T.S.O.P. (The Sound Of Philadelphia),20.36,18.07,29.14,11.43,10.29,46.64,36.93,10.07,3.0,7kllQQPam6HumbUCIPSvHJ,tracks/7kllQQPam6HumbUCIPSvHJ.mp3
82,Avril Lavigne,I'm with You,17.94,8.17,48.61,39.22,22.39,14.17,18.56,4.61,15.89,1jlG3KJ3gdYmhfuySFfpO1,tracks/1jlG3KJ3gdYmhfuySFfpO1.mp3
83,Sébastien Tellier,La Ritournelle,30.67,21.92,33.17,34.67,57.17,5.75,4.33,6.83,55.33,0qG1teoBvooRo7Z5Z8edCk,tracks/0qG1teoBvooRo7Z5Z8edCk.mp3
84,Strike,O Teu Olhar,15.45,10.36,8.73,3.91,5.82,40.82,36.18,22.55,0.45,4wGDJMUhcFy1j7XWo5ve4K,tracks/4wGDJMUhcFy1j7XWo5ve4K.mp3
85,Chicane,Autumn Tactics,16.82,14.06,21.53,16.0,23.53,16.71,9.53,8.65,18.47,7LmG4gBYF7T53JVfgVVFKy,tracks/7LmG4gBYF7T53JVfgVVFKy.mp3
86,Katatonia,Teargas,12.53,20.67,14.8,7.27,4.33,14.33,20.87,25.13,27.13,31kIDIQFtTgVhV6KDwt1PV,tracks/31kIDIQFtTgVhV6KDwt1PV.mp3
87,Kool & The Gang,Celebration,22.72,12.72,48.92,8.08,18.0,69.0,41.48,2.4,0.08,3K7Q9PHUWPTaknlbFPThn2,tracks/3K7Q9PHUWPTaknlbFPThn2.mp3
88,Cerrone,Give Me Love,24.82,19.59,35.47,16.76,25.12,39.88,27.94,14.12,10.88,30EaKbkhCzCAxVccAaYzGA,tracks/30EaKbkhCzCAxVccAaYzGA.mp3
89,We the Kings,All Again for You,15.16,13.26,27.95,11.26,10.11,61.32,43.53,12.84,9.53,1zMc2ZD35IDeYlNANbnF0w,tracks/1zMc2ZD35IDeYlNANbnF0w.mp3
90,Jamiroquai,Automaton,18.94,21.31,8.69,5.44,8.38,39.66,31.03,28.66,1.38,42dJ29C11xlJTLkRVmKty1,tracks/42dJ29C11xlJTLkRVmKty1.mp3
92,Paradise Lost,True Belief,7.93,17.87,5.93,1.2,1.53,7.93,26.13,26.27,14.87,3mfwwUEFwXERswYBqhKcTC,tracks/3mfwwUEFwXERswYBqhKcTC.mp3
93,Paramore,That's What You Get,14.0,12.78,34.0,8.91,6.74,37.35,31.61,8.57,3.96,1JdKrFyoU05abww0Zv0ayQ,tracks/1JdKrFyoU05abww0Zv0ayQ.mp3
94,Diana Ross,The Best Years Of My Life,12.23,7.23,23.69,39.23,33.0,5.38,2.38,4.54,25.54,7xTAPIggS2K1UcTF0HXkak,tracks/7xTAPIggS2K1UcTF0HXkak.mp3
95,Flunk,Six Seven Times,22.89,20.56,28.11,21.67,36.0,14.28,14.94,5.89,26.17,2jknEB3TLUX5vEaLI4gttE,tracks/2jknEB3TLUX5vEaLI4gttE.mp3
96,Candlemass,Solitude,14.22,25.0,6.11,2.28,7.39,14.22,47.17,43.06,17.44,0v3WyEt2g04WFpfVwcnfXm,tracks/0v3WyEt2g04WFpfVwcnfXm.mp3
97,The Format,I'm Actual,22.18,19.41,31.88,24.76,13.88,19.88,26.71,11.35,20.18,2eHZ6UoAycNv99qKz4PVPg,tracks/2eHZ6UoAycNv99qKz4PVPg.mp3
98,Teena Marie,Revolution,5.58,17.0,18.75,6.08,12.83,29.5,17.92,6.67,7.75,7re1yRjy442DIAIVUgCaBN,tracks/7re1yRjy442DIAIVUgCaBN.mp3
99,Ashlee Simpson,Beautifully Broken,18.92,11.69,19.08,20.15,11.23,23.54,18.31,4.23,21.46,0Z5TwodaWvDGq43AVdnKzn,tracks/0Z5TwodaWvDGq43AVdnKzn.mp3
100,Al Jarreau,Ain't No Sunshine,21.31,13.31,47.31,31.77,27.15,32.92,23.69,11.69,18.31,0Res4ooR61zc5T7m2Fswog,tracks/0Res4ooR61zc5T7m2Fswog.mp3
101,Lana Del Rey,Born to Die,21.05,9.05,38.79,26.21,28.58,4.21,9.0,7.63,35.74,487OPlneJNni3NWC8SYqhW,tracks/487OPlneJNni3NWC8SYqhW.mp3
102,Ambrosia,You're the Only Woman,14.35,8.96,35.31,31.15,21.12,27.35,17.5,2.73,10.62,11qmuUlW5q5diLiVSOlsSF,tracks/11qmuUlW5q5diLiVSOlsSF.mp3
103,Justin Timberlake,Cry Me a River,16.26,8.79,46.42,15.42,21.0,31.47,19.53,14.89,19.11,7Lf7oSEVdzZqTA0kEDSlS5,tracks/7Lf7oSEVdzZqTA0kEDSlS5.mp3
104,Michael Bublé,Feeling Good,13.92,10.0,33.0,21.92,24.92,15.58,13.33,12.75,5.33,3I09LQbHS3NSU46Ly3tPpR,tracks/3I09LQbHS3NSU46Ly3tPpR.mp3
105,Diana Ross,Upside Down,23.71,18.53,33.65,31.59,24.29,55.41,32.41,2.65,1.65,3pbtBomO4Zt5gGiqsYeiBH,tracks/3pbtBomO4Zt5gGiqsYeiBH.mp3
106,Marianas Trench,Good To You,10.16,4.32,14.37,19.95,7.32,24.79,42.26,10.95,13.58,3eDBBDWXkmH6chzPZhuajx,tracks/3eDBBDWXkmH6chzPZhuajx.mp3
107,Prince & The Revolution,Purple Rain,28.21,31.5,46.86,15.71,15.71,9.79,28.36,7.64,14.93,54X78diSLoUDI3joC2bjMz,tracks/54X78diSLoUDI3joC2bjMz.mp3
108,Lily Allen,Air Balloon,18.37,16.95,14.0,23.84,18.05,46.63,21.37,6.0,0.26,1DIS8YXZKxePLmY7Z8UC4I,tracks/1DIS8YXZKxePLmY7Z8UC4I.mp3
109,Louis Armstrong,What a Wonderful World,41.0,25.29,53.43,54.14,52.64,42.57,17.64,3.14,11.79,29U7stRjqHU6rMiS8BfaI9,tracks/29U7stRjqHU6rMiS8BfaI9.mp3
110,Madonna,Gang Bang,17.94,22.69,10.25,5.56,9.06,29.94,40.06,25.31,6.06,5IYWdpFJAeKLggc7B8xtJm,tracks/5IYWdpFJAeKLggc7B8xtJm.mp3
111,Electric Wizard,The Chosen Few,14.53,19.47,14.67,9.6,9.8,13.67,28.33,27.0,15.0,5qN4DbKNNuIIe7xSlJPco0,tracks/5qN4DbKNNuIIe7xSlJPco0.mp3
112,Donna Summer,Autumn Changes,6.6,5.73,13.2,20.73,11.93,31.93,19.0,8.13,11.6,4LldsyhaiUL5tcP5uxDBkx,tracks/4LldsyhaiUL5tcP5uxDBkx.mp3
113,blink-182,The Girl Next Door,10.9,9.0,6.8,6.5,3.9,15.3,20.2,28.0,7.7,2YmvU7tSabJfECLUutSXJ1,tracks/2YmvU7tSabJfECLUutSXJ1.mp3
114,Village People,Go West,13.24,6.1,48.19,11.33,8.81,53.48,37.95,10.76,5.0,5v67uga7IFT3FQhDDBgaY8,tracks/5v67uga7IFT3FQhDDBgaY8.mp3
115,Melanie C,"Yeh, Yeh, Yeh",11.19,5.0,16.38,6.19,10.69,46.62,38.0,16.19,1.94,5gEkWBFaVUjzY7Y3sw35UU,tracks/5gEkWBFaVUjzY7Y3sw35UU.mp3
116,Norah Jones,Humble Me,32.54,29.38,42.08,53.69,56.0,5.85,13.0,4.69,57.46,7BboupyTdAr1nmMJZw0V4h,tracks/7BboupyTdAr1nmMJZw0V4h.mp3
117,Paradise Lost,Gone,16.58,11.5,28.0,10.0,24.42,11.83,23.33,11.58,32.58,7C05KE8DAyWoM4yoEOaq6m,tracks/7C05KE8DAyWoM4yoEOaq6m.mp3
118,Morcheeba,Rome Wasn't Built in a Day,25.64,16.64,33.55,50.55,35.45,30.27,20.09,13.27,9.45,6lsumzVFKP9SnfKcuGwqVp,tracks/6lsumzVFKP9SnfKcuGwqVp.mp3
119,Hozier,Take Me to Church,34.45,32.64,40.55,28.82,31.82,25.45,43.55,16.64,29.73,1CS7Sd1u5tWkstBhpssyjP,tracks/1CS7Sd1u5tWkstBhpssyjP.mp3
120,Chico Buarque,Sonho De Um Carnaval,14.46,10.15,19.23,18.46,37.69,18.69,4.62,5.69,7.77,6VlapIlYfqtoiWsE0DZUsE,tracks/6VlapIlYfqtoiWsE0DZUsE.mp3
121,Kendrick Lamar,King Kunta,6.4,10.0,14.4,0.47,3.8,31.87,39.47,23.6,3.2,0N3W5peJUQtI4eyR6GJT5O,tracks/0N3W5peJUQtI4eyR6GJT5O.mp3
122,Owl City,Fireflies,25.94,29.38,45.56,25.88,27.81,38.0,21.81,11.38,8.12,3DamFFqW32WihKkTVlwTYQ,tracks/3DamFFqW32WihKkTVlwTYQ.mp3
123,Neurosis,Fear and Sickness,13.19,15.5,6.81,1.94,1.44,7.0,49.06,71.81,5.81,2sXYiWVdddj45DruzNKJGC,tracks/2sXYiWVdddj45DruzNKJGC.mp3
124,The Temptations,My Girl,17.17,8.56,51.22,39.22,30.33,41.72,20.17,6.56,8.39,745H5CctFr12Mo7cqa1BMH,tracks/745H5CctFr12Mo7cqa1BMH.mp3
125,Descendents,Silly Girl,6.39,8.87,10.26,8.74,2.0,22.39,31.43,21.39,3.0,1o0cObpbURSTFEoXSgmL6a,tracks/1o0cObpbURSTFEoXSgmL6a.mp3
126,Michael Learns to Rock,Paint My Love,20.55,9.65,37.1,41.35,37.0,18.6,5.35,4.0,17.3,523iOSL6R2OomhVMGcfxdy,tracks/523iOSL6R2OomhVMGcfxdy.mp3
127,A*Teens,Rockin',12.15,5.0,16.85,11.4,15.5,35.4,14.75,7.35,0.2,66Ic3dIvBMBV7Oc4PUjw5w,tracks/66Ic3dIvBMBV7Oc4PUjw5w.mp3
128,Mark Ronson,Uptown Funk,11.0,17.0,26.47,18.0,7.47,61.47,51.27,8.53,0.27,32OlwWuMpZ6b0aN2RZOeMS,tracks/32OlwWuMpZ6b0aN2RZOeMS.mp3
129,Apparat,Black Water,18.88,22.76,19.47,16.0,18.88,9.0,17.12,13.24,26.24,3mFu6HJLVeyyUyTS1EkHFP,tracks/3mFu6HJLVeyyUyTS1EkHFP.mp3
130,Sarah Vaughan,He's My Guy,17.75,15.42,26.33,28.08,47.33,33.0,27.67,7.08,1.58,5Po3D0fxlUpQTciXYWOmnJ,tracks/5Po3D0fxlUpQTciXYWOmnJ.mp3
131,Pinball,Come Into My Dream,21.31,10.46,9.77,13.23,9.31,31.15,24.15,19.54,2.92,2JPFEnjLROchH7qqoRy9Vl,tracks/2JPFEnjLROchH7qqoRy9Vl.mp3
132,Heidi Montag,Love It or Leave It,11.9,13.1,10.5,3.7,13.2,24.8,17.9,21.0,0.8,25pVbxHtM3TdDA6hHwvLfW,tracks/25pVbxHtM3TdDA6hHwvLfW.mp3
133,The Bug,Poison Dart,9.47,8.47,9.2,9.07,9.73,17.33,14.2,44.47,3.4,7k9XruEHhkEH1I2epEHERo,tracks/7k9XruEHhkEH1I2epEHERo.mp3
