"","artist","title","Wonder","Transcendence","Nostalgia","Tenderness","Peacefulness","Joy","Power","Tension","Sadness","Sublimity","Vitality","Unease","ICC","Familiarity","Liking","Spotify ID","Youtube Clip","Youtube ID","Youtube Start-Time","Youtube End-Time","Number of Raters","GEMS Version"
"11","Busted","Over Now",17.84,12.08,34.72,21.44,10.8,24.04,25.8,13.16,23.16,19.38,24.92,18.16,0.62,1.48,2.92,"70uvMWoagPhT9NeymzQxav",NA,NA,NA,NA,27,"gems-9"
"12","George Michael","Careless Whisper",40.48,34.86,69.33,56.81,37.86,39.19,31.1,8.86,32.52,47.87,35.14,20.69,0.88,4.57,4.38,"4jDmJ51x1o9NZB5Nxxc7gY",NA,NA,NA,NA,21,"gems-9"
"13","Hot Chocolate","You Sexy Thing",23.28,15.07,37.28,28.07,26.66,48.72,28.52,6.66,5.41,26.07,38.62,6.03,0.91,2.69,3.31,"714hERk9U1W8FMYkoC83CO",NA,NA,NA,NA,31,"gems-9"
"14","The Saturdays","Forever Is Over",15.93,17.4,17.47,9.4,7.27,29.53,37.13,11.4,8.93,13.49,33.33,10.17,0.73,1.2,2.27,"6mSqWsqiv9LLPPKxrwh3yU",NA,NA,NA,NA,15,"gems-9"
"15","Carpenters","We've Only Just Begun",28.38,16.72,50.72,43.28,46.03,29.45,7.34,2.28,8.14,37.03,18.4,5.21,0.95,2.41,3.28,"3m167vBQI5YLK0a1m6L6Y1",NA,NA,NA,NA,29,"gems-9"
"16","Jam & Spoon","Right in the Night (Fall in Love With Music)",20.92,29.33,23.33,19.33,22.58,40.83,33.25,11.58,8.33,23.1,37.04,9.96,0.71,1.75,3.25,"6x6G0shZs4Qg4YLfLbhR7z",NA,NA,NA,NA,12,"gems-9"
"17","Novos Baianos","Curto De V�u E Grinalda",13.47,12.68,9.68,7.16,7,33.68,38.84,18.21,2.26,10,36.26,10.24,0.89,1.21,2.37,"7rFNyShNdXvg4j6qK9lBSC",NA,NA,NA,NA,20,"gems-9"
"18","Bj�rk","Possibly Maybe (Live)",14.75,13.3,13.45,20.65,20.9,11.4,4.45,18.1,17.45,16.61,7.92,17.77,0.27,1.25,1.95,"4SngFKTnu9FbOldhGvHUlG",NA,NA,NA,NA,20,"gems-9"
"19","Cult of Luna","Finland",10.85,20.15,5.15,2.77,10.46,12.15,44.23,50.77,10.46,9.88,28.19,30.62,0.88,1.08,2.31,"3N8cK1O5u0RawDBbP4a0hc",NA,NA,NA,NA,13,"gems-9"
"20","IU","The red shoes",27.62,19.38,18.75,15.19,11.31,49.75,41.69,18.94,0.94,18.45,45.72,9.94,0.88,1.19,2.62,"3atsk5EWI5fNxLMIJnfYfJ",NA,NA,NA,NA,17,"gems-9"
"21","Zero 7","In the Waiting Line",19.79,16.14,26.36,31.5,42.21,25.21,10,8.64,9.86,27.2,17.61,9.25,0.85,1.57,3.14,"5ARrtxJLVCeTv5TWo1oKgC",NA,NA,NA,NA,14,"gems-9"
"22","Jorge Ben Jor","Mas, Que Nada!",22.36,25.86,36.93,31.57,42.29,31.93,13.29,13.57,12.21,31.8,22.61,12.89,0.74,2.5,2.93,"6U03Orwr5Dxt8jahLnQpYV",NA,NA,NA,NA,14,"gems-9"
"23","Bobby Caldwell","Open Your Eyes",15.81,14.44,42.44,31.06,40.88,38.88,21.12,5.62,3.56,28.92,30,4.59,0.86,1.25,3,"1Yrgyxebkguu4MGFkDoINo",NA,NA,NA,NA,16,"gems-9"
"24","Fiona Apple","The First Taste",19.85,22.69,26.38,32.62,38.77,15.27,14.35,7.81,21.08,28.06,14.81,14.44,0.81,1.19,2.35,"21Xc8hEIzv81jwiftI4hJB",NA,NA,NA,NA,26,"gems-9"
"25","Tamar Braxton","Sound of Love",11.82,8.29,7.29,7.47,8.12,10.41,14.29,35.88,11.76,8.6,12.35,23.82,0.79,1.29,1.76,"1QSNwan8EvZeJhuDag0aqX",NA,NA,NA,NA,19,"gems-9"
"26","C�line Dion","Je crois toi",28.93,28.71,26.57,41,30.36,6.5,12.5,13.14,29.14,31.11,9.5,21.14,0.72,1,2.64,"3CehtvHVAVPaaukPIIL67r",NA,NA,NA,NA,14,"gems-9"
"27","Submotion Orchestra","Variations",10.39,7.39,6.44,25.33,33.83,4.28,2.39,5.83,6.94,16.68,3.33,6.39,0.87,1,2.11,"3qzxORCDY3UpbvT7p7WYIE",NA,NA,NA,NA,18,"gems-9"
"28","Rilo Kiley","It Just Is",34.06,16.88,38.69,22.81,27.5,14.69,13.62,5.25,32.62,27.99,14.16,18.94,0.79,1.12,2.75,"26tR002TUAcmtfBLR7hVnS",NA,NA,NA,NA,18,"gems-9"
"29","The Weeknd","Wicked Games",32.95,25.26,30,46.89,35.26,23.26,37,12.58,11.68,34.07,30.13,12.13,0.76,1.84,3.37,"6VwBbL8CzPiC4QV66ay7oR",NA,NA,NA,NA,18,"gems-9"
"30","John Farnham","Age of Reason",16.94,10.56,20.11,8.39,16.33,25.33,21.78,11.28,5.56,14.47,23.56,8.42,0.58,1.11,2.78,"3LQde40NABYOH14hWse0Yi",NA,NA,NA,NA,17,"gems-9"
"31","Duffy","Rockferry",13.7,11.1,18.5,16.1,24.5,4.9,8.2,1.7,17.2,16.78,6.55,9.45,0.48,1.7,3.1,"78twQ5XCFJMTE37ZSU0gsj",NA,NA,NA,NA,10,"gems-9"
"32","Sarah Vaughan","Misty",10.83,7.52,22.57,13.13,24.96,42.57,13.17,14.35,2,15.8,27.87,8.17,0.85,1.52,2.78,"7gHFBNy0Qn86xGKJ9OdFTw",NA,NA,NA,NA,23,"gems-9"
"33","Avril Lavigne","Wish You Were Here",22,19.26,40.79,33.26,20.37,31.37,26.74,18.11,16.89,27.14,29.05,17.5,0.39,2.26,3.11,"5XHf9PBxxHmJFuiDkGNIOA",NA,NA,NA,NA,19,"gems-9"
"34","October Tide","Blackness Devours",17.07,25.33,7.6,2.13,3.27,12.87,42.8,47.27,16.8,11.08,27.83,32.03,0.84,1.07,2.07,"5KjDr2aEWTdOxdOs4gcuac",NA,NA,NA,NA,15,"gems-9"
"35","Ridgewalkers","Find (Andy Moor Remix)",29.93,33.86,28.14,20.71,18.86,40.64,46.5,23.5,12.57,26.3,43.57,18.04,0.68,1.36,2.64,"5DpHrixQf7FfpAQJLAX2Fw",NA,NA,NA,NA,14,"gems-9"
"36","Alcazar","This Is The World We Live In",18.29,20.47,30.18,13.94,11.94,49,45.12,6.88,2.12,18.96,47.06,4.5,0.85,2.41,3.18,"6HuwtnWUE0Y7MKUvoOyb2F",NA,NA,NA,NA,19,"gems-9"
"37","Dinah Washington","Cry Me a River",29,28.55,38.45,40.36,37,24,29.64,12.91,34.18,34.67,26.82,23.55,0.25,2.09,2.91,"4ydtQJImyQg6UDFFZBzgxp",NA,NA,NA,NA,11,"gems-9"
"38","Boney M.","Rasputin",15,22.25,31.25,2.05,9.35,64.95,51.6,12.9,0.7,15.98,58.27,6.8,0.95,4,3.65,"5jkFvD4UJrmdoezzT1FRoP",NA,NA,NA,NA,20,"gems-9"
"39","Donna Summer","Winter Melody",29.32,23.11,35.63,36.47,45.47,45.84,22.84,7.11,15.74,34,34.34,11.42,0.83,1.32,3.16,"1zHOjqf8DqjNq6OB7Y5mrF",NA,NA,NA,NA,19,"gems-9"
"40","Tonight Alive","Let It Land",12.56,22.78,35.39,6.61,9.5,40,37.83,19.17,13.78,17.37,38.92,16.47,0.81,1.39,3.39,"3aKPJyIFrJAPTPWs2yy0IX",NA,NA,NA,NA,18,"gems-9"
"41","My Dying Bride","Your River",9.57,13.71,13.71,1.24,8.05,6.48,29.57,42,14.67,9.26,18.02,28.33,0.87,1.05,2.43,"6FMcHZ5FuBpPkD4IHVyrM9",NA,NA,NA,NA,23,"gems-9"
"42","Sara Bareilles","Undertow",28.68,22.91,28.36,43.36,37.41,30.95,20.27,7.41,10.77,32.15,25.61,9.09,0.86,1.36,3.27,"0tozhA4AZE7kDEvlcxCzP1",NA,NA,NA,NA,21,"gems-9"
"43","Leona Lewis","Bleeding Love",18.39,13.67,44.61,35.89,22.94,30.67,37.22,3.78,20.44,27.1,33.94,12.11,0.78,3.72,4,"7wZUrN8oemZfsEd1CGkbXE",NA,NA,NA,NA,18,"gems-9"
"44","Anathema","Crestfallen",4.44,6.69,2.69,1.69,5.56,5,25.06,51.62,13.94,4.21,15.03,32.78,0.89,1.06,1.62,"3Ca1PahHy0AowFpNwHzJM2",NA,NA,NA,NA,15,"gems-9"
"45","Submotion Orchestra","Eyeline",25.67,18.73,12.67,10.87,14.73,10.93,23.67,14.2,11.6,16.53,17.3,12.9,0.45,1.07,2.33,"2sqeVVvHRuskC1E4nA1Xls",NA,NA,NA,NA,17,"gems-9"
"46","September","R.I.P.",12,6.65,12,8.88,3.88,31.47,30.35,10.12,5.65,8.68,30.91,7.88,0.79,1.12,2.88,"4BPyxkPrDW7tsb86HUnb04",NA,NA,NA,NA,17,"gems-9"
"47","Djavan","Serrado",15.17,5.92,11.92,14.83,29.67,43.58,11.83,8.33,3.67,15.5,27.71,6,0.87,1,2.5,"7EjRiBMib2EG0cdMEXavbC",NA,NA,NA,NA,12,"gems-9"
"48","Christina Aguilera","Something's Got a Hold on Me",19.92,10.08,29.92,12,18.25,42.92,47.75,5.33,1.25,18.03,45.33,3.29,0.87,1.92,3.17,"2CVMTJWBqbtaCWNWbcBZae",NA,NA,NA,NA,12,"gems-9"
"49","Ana Carolina","T� rindo, �?",15.8,9.85,18.2,27.45,30.3,25.65,16.1,10.05,1.65,20.32,20.88,5.85,0.84,1.15,2.65,"65GmViOSKcP7jK0wNqRs8r",NA,NA,NA,NA,19,"gems-9"
"50","The Whispers","And the Beat Goes On",23.65,15.5,30.55,18.55,24.85,51.3,23.7,11.1,5.75,22.62,37.5,8.43,0.84,1.95,3.15,"7oQ1wkBmYSBEC2x7U08dvn",NA,NA,NA,NA,21,"gems-9"
"51","Cobra Starship","One Day, Robots Will Cry",12.38,21.52,28.52,14.86,13.24,43.05,46.38,19.05,5,18.1,44.71,12.02,0.87,1.43,3.1,"76ohTRgQXmyTJrt8rgMbH2",NA,NA,NA,NA,21,"gems-9"
"52","Yellowcard","Everywhere",23.27,34.18,32.09,6,7.09,44.55,39.09,15.36,12.18,20.53,41.82,13.77,0.71,2.36,3.91,"4A3H0I1iSmYiHh5IScsBX5",NA,NA,NA,NA,11,"gems-9"
"53","Portishead","Glory Box",29.18,16.09,33.55,36.73,25.09,17.73,13.36,2.27,13.09,28.13,15.55,7.68,0.56,2.09,3.45,"3Ty7OTBNSigGEpeW2PqcsC",NA,NA,NA,NA,11,"gems-9"
"54","Rihanna","Diamonds",43,21.82,35.55,23.55,24.73,58.91,47.36,4.18,5.82,29.73,53.14,5,0.78,4,4.27,"1z9kQ14XBSN0r2v6fx4IdG",NA,NA,NA,NA,11,"gems-9"
"55","Al Green","Let's Stay Together",24.93,25.57,33.43,51.64,42.36,44.93,16.5,7.14,7.36,35.59,30.71,7.25,0.89,2.07,3.43,"63xdwScd1Ai1GigAwQxE8y",NA,NA,NA,NA,15,"gems-9"
"56","New Found Glory","This Disaster",13.71,16.14,20.64,5.14,7.57,35.71,40.36,26,10.29,12.64,38.04,18.14,0.77,1.36,2.57,"2VHAQ84pzRe11YdMUDZzMZ",NA,NA,NA,NA,15,"gems-9"
"57","All Time Low","Time-Bomb",20.62,11.69,25.38,14.5,9.25,46.62,51,28.06,10.38,16.29,48.81,19.22,0.86,1.94,3.38,"2qqn52sp9dDk2F9PdTrpwZ",NA,NA,NA,NA,16,"gems-9"
"58","The Ink Spots","I Don't Want to Set the World on Fire",21.25,16.19,52,32.88,51.19,19.38,6.38,1.25,17.69,34.7,12.88,9.47,0.92,2.25,3.38,"777zXDJpBufzttU4AJ2dGO",NA,NA,NA,NA,16,"gems-9"
"59","The Weeknd","The Town",24.28,17.67,14.89,19.11,14.83,15.22,18,26.28,9.06,18.16,16.61,17.67,-0.22,1.78,2,"7jGr8wzgwOVLuktY66qM5f",NA,NA,NA,NA,18,"gems-9"
"60","Earth, Wind & Fire","Boogie Wonderland",19.46,16.46,43.88,13.73,18.85,56.46,33.27,5.88,4.54,22.48,44.87,5.21,0.94,3.54,3.62,"6ztstiyZL6FXzh4aG46ZPD",NA,NA,NA,NA,26,"gems-9"
"61","Sister Sledge","Frankie",22,12.56,46.12,39.69,37.88,49.06,21.12,7.19,11.69,31.65,35.09,9.44,0.89,1.44,2.75,"6th7K3C0mmxk5AlT4x4oro",NA,NA,NA,NA,16,"gems-9"
"62","The Andrews Sisters","In the Mood",24.67,18.53,30.4,6.93,13.8,56.13,36.27,7.93,0.8,18.87,46.2,4.37,0.87,1.53,3.07,"6jO6eAQG1JW7fel2csJ5XQ",NA,NA,NA,NA,15,"gems-9"
"63","Deee-Lite","Apple Juice Kissing",9.3,6.78,11.74,25.22,14.19,13.33,10.41,9.96,1.44,13.44,11.87,5.7,0.7,1.11,2.22,"7fh5bhI5rzRBcSX9IKFNir",NA,NA,NA,NA,27,"gems-9"
"64","Shpongle","I Am You",9.93,15.43,2.79,2.79,1.86,20.29,17.57,32.64,1.86,6.56,18.93,17.25,0.79,1.07,2.14,"3k3RK6cRZa165izv0rTv4Z",NA,NA,NA,NA,14,"gems-9"
"65","Nicki Minaj","Starships",17.28,24.5,15.56,12.89,8.33,55.33,42.39,28.83,2.61,15.71,48.86,15.72,0.85,2.89,3.17,"1oHNvJVbFkexQc0BpQp7Y4",NA,NA,NA,NA,19,"gems-9"
"66","Squirrel Nut Zippers","Low Down Man",17.5,15.08,31.33,34.5,34.08,5.92,3.75,9.33,24.67,26.5,4.83,17,0.76,1.25,2.67,"0Ta1U180vOfj8LlhUM1Qvh",NA,NA,NA,NA,12,"gems-9"
"67","George Benson","Turn Your Love Around",24.54,27.54,42.31,36.77,38,51.85,26.92,4.38,5.31,33.83,39.38,4.85,0.85,2.23,3.69,"6a899bXlCuViXW2Qs8Rdqo",NA,NA,NA,NA,13,"gems-9"
"68","Itamar Assump��o","Beijo na Boca",17.42,5.25,11.92,8.5,24.83,39.33,16.08,3.33,1.75,13.58,27.71,2.54,0.8,1.17,2.25,"034M638G8hvIQ5WfSxJ9gS",NA,NA,NA,NA,14,"gems-9"
"69","Santa Esmeralda","Don't Let Me Be Misunderstood",20.94,10.17,7.61,6.61,16.61,45.94,31.94,11.17,1.94,12.39,38.94,6.56,0.88,1.11,2.89,"6rhVKeUhQTGLIRmQOfc9Wo",NA,NA,NA,NA,19,"gems-9"
"70","The Pointer Sisters","He's So Shy",16.14,14.71,32,34.43,21.21,28.64,24.21,6.21,8.57,23.7,26.43,7.39,0.74,1.29,2.93,"6R9NqD0WX9sJYs6PbA5onu",NA,NA,NA,NA,16,"gems-9"
"71","James Brown","Funky Drummer",14.48,15,26.04,8.35,15.39,45.39,37.57,19.96,3,15.85,41.48,11.48,0.89,1.52,3.04,"0VbpqlboEkGQ7Pu6juJljZ",NA,NA,NA,NA,23,"gems-9"
"72","Atomic Kitten","It's OK!",13.36,19.73,26.55,22.18,34.82,28.91,16.27,5.64,15.91,23.33,22.59,10.77,0.59,1.82,2.36,"7fQrbv4s2XyMwVCIKenI26",NA,NA,NA,NA,14,"gems-9"
"73","Vin�cius de Moraes","Samba em Prel�dio",29.77,18.15,35.23,37.15,32.31,14.85,4.92,2.15,19.85,30.52,9.88,11,0.78,1.08,3.38,"7yYKjc8k6UrqeBig0bDeFy",NA,NA,NA,NA,14,"gems-9"
"74","Chet Baker","The Thrill Is Gone",33.83,27,37.08,41.42,55.08,3.67,3,6.67,47.08,38.88,3.33,26.88,0.88,1.42,2.75,"0kKQreifydSOeqZzHkNW67",NA,NA,NA,NA,11,"gems-9"
"75","Gino Vannelli","Wheels Of Life",28.74,13.58,38.16,48.89,31.26,17.84,18.63,1.37,19,32.13,18.24,10.18,0.85,1.58,2.95,"7uE9ZeScOg28zFE7OHQxuR",NA,NA,NA,NA,19,"gems-9"
"76","The Chakachas","Jungle Fever",14.95,12.7,6.15,12.55,11,22.8,11.7,27.85,2.95,11.47,17.25,15.4,0.73,1.05,1.9,"2QEhVc7hg5Z5yI8UPOSRk8",NA,NA,NA,NA,19,"gems-9"
"77","Jennifer Hudson","Moan",25,22.55,32.45,52.09,54,21.09,33,5.55,26.36,37.22,27.05,15.95,0.82,1.55,3,"5jpo5CggeyVEQSHoXVhBqh",NA,NA,NA,NA,11,"gems-9"
"78","Bosson","One In A Million",23.65,13.65,25.53,34.82,20.47,37,21.76,6.29,14.12,23.62,29.38,10.21,0.81,2.06,2.94,"3y1cXTre9LcmTxgqbKSqZY",NA,NA,NA,NA,16,"gems-9"
"79","Melody Gardot","Worrisome Heart",29.67,22.17,32.17,37.25,37.33,28.5,24.75,15.08,14.08,31.72,26.62,14.58,0.22,1.42,2.5,"3zh5km8gPDYMiWvmLTsos0",NA,NA,NA,NA,13,"gems-9"
"80","Michael Jackson","Love Never Felt So Good",20.08,18.38,21.77,30.54,5.92,55.23,37.46,6.54,3.69,19.34,46.35,5.12,0.89,2.85,3.62,"48td6xvpokdYwvbl3JIiXP",NA,NA,NA,NA,13,"gems-9"
"81","Emika","Drop the Other",27.39,32,19.33,12.61,22.17,23,34.5,26.17,11.67,22.7,28.75,18.92,0.52,1.17,3.06,"1sHoqPtMfaZML6P77Q586a",NA,NA,NA,NA,18,"gems-9"
"82","MFSB","T.S.O.P. (The Sound Of Philadelphia)",20.36,18.07,29.14,11.43,10.29,46.64,36.93,10.07,3,17.86,41.79,6.54,0.9,1.5,3,"7kllQQPam6HumbUCIPSvHJ",NA,NA,NA,NA,14,"gems-9"
"83","Avril Lavigne","I'm with You",17.94,8.17,48.61,39.22,22.39,14.17,18.56,4.61,15.89,27.27,16.36,10.25,0.88,2.72,3.56,"1jlG3KJ3gdYmhfuySFfpO1",NA,NA,NA,NA,18,"gems-9"
"84","S�bastien Tellier","La Ritournelle",30.67,21.92,33.17,34.67,57.17,5.75,4.33,6.83,55.33,35.52,5.04,31.08,0.87,1.5,3.17,"0qG1teoBvooRo7Z5Z8edCk",NA,NA,NA,NA,12,"gems-9"
"85","Strike","O Teu Olhar",15.45,10.36,8.73,3.91,5.82,40.82,36.18,22.55,0.45,8.85,38.5,11.5,0.82,1.18,3.18,"4wGDJMUhcFy1j7XWo5ve4K",NA,NA,NA,NA,12,"gems-9"
"86","Chicane","Autumn Tactics",16.82,14.06,21.53,16,23.53,16.71,9.53,8.65,18.47,18.39,13.12,13.56,0.2,1.12,2.29,"7LmG4gBYF7T53JVfgVVFKy",NA,NA,NA,NA,17,"gems-9"
"87","Katatonia","Teargas",12.53,20.67,14.8,7.27,4.33,14.33,20.87,25.13,27.13,11.92,17.6,26.13,0.58,1.2,2.4,"31kIDIQFtTgVhV6KDwt1PV",NA,NA,NA,NA,14,"gems-9"
"88","Kool & The Gang","Celebration",22.72,12.72,48.92,8.08,18,69,41.48,2.4,0.08,22.09,55.24,1.24,0.96,4.48,3.72,"3K7Q9PHUWPTaknlbFPThn2",NA,NA,NA,NA,25,"gems-9"
"89","Cerrone","Give Me Love",24.82,19.59,35.47,16.76,25.12,39.88,27.94,14.12,10.88,24.35,33.91,12.5,0.64,1.76,2.94,"30EaKbkhCzCAxVccAaYzGA",NA,NA,NA,NA,17,"gems-9"
"90","We the Kings","All Again for You",15.16,13.26,27.95,11.26,10.11,61.32,43.53,12.84,9.53,15.55,52.42,11.18,0.94,1.32,3.79,"1zMc2ZD35IDeYlNANbnF0w",NA,NA,NA,NA,19,"gems-9"
"91","Jamiroquai","Automaton",18.94,21.31,8.69,5.44,8.38,39.66,31.03,28.66,1.38,12.55,35.34,15.02,0.91,1.5,2.84,"42dJ29C11xlJTLkRVmKty1",NA,NA,NA,NA,32,"gems-9"
"92","The Brand New Heavies","Dream On Dreamer",23.79,14.64,23.43,13.36,24,26.64,16.43,13.71,9.43,19.84,21.54,11.57,0.37,2,2.57,"1EIl3D1fyxXRuzcUw3bxen",NA,NA,NA,NA,14,"gems-9"
"93","Paradise Lost","True Belief",7.93,17.87,5.93,1.2,1.53,7.93,26.13,26.27,14.87,6.89,17.03,20.57,0.8,1,2.07,"3mfwwUEFwXERswYBqhKcTC",NA,NA,NA,NA,14,"gems-9"
"94","Paramore","That's What You Get",14,12.78,34,8.91,6.74,37.35,31.61,8.57,3.96,15.29,34.48,6.26,0.91,2.26,3.04,"1JdKrFyoU05abww0Zv0ayQ",NA,NA,NA,NA,23,"gems-9"
"95","Diana Ross","The Best Years Of My Life",12.23,7.23,23.69,39.23,33,5.38,2.38,4.54,25.54,23.08,3.88,15.04,0.87,1.15,2.38,"7xTAPIggS2K1UcTF0HXkak",NA,NA,NA,NA,12,"gems-9"
"96","Flunk","Six Seven Times",22.89,20.56,28.11,21.67,36,14.28,14.94,5.89,26.17,25.84,14.61,16.03,0.72,1.44,2.78,"2jknEB3TLUX5vEaLI4gttE",NA,NA,NA,NA,18,"gems-9"
"97","Candlemass","Solitude",14.22,25,6.11,2.28,7.39,14.22,47.17,43.06,17.44,11,30.69,30.25,0.9,1.22,2.33,"0v3WyEt2g04WFpfVwcnfXm",NA,NA,NA,NA,18,"gems-9"
"98","The Format","I'm Actual",22.18,19.41,31.88,24.76,13.88,19.88,26.71,11.35,20.18,22.42,23.29,15.76,0.26,1.24,2.65,"2eHZ6UoAycNv99qKz4PVPg",NA,NA,NA,NA,19,"gems-9"
"99","Teena Marie","Revolution",5.58,17,18.75,6.08,12.83,29.5,17.92,6.67,7.75,12.05,23.71,7.21,0.59,1.17,2.17,"7re1yRjy442DIAIVUgCaBN",NA,NA,NA,NA,12,"gems-9"
"100","Ashlee Simpson","Beautifully Broken",18.92,11.69,19.08,20.15,11.23,23.54,18.31,4.23,21.46,16.22,20.92,12.85,-0.21,1.69,3.15,"0Z5TwodaWvDGq43AVdnKzn",NA,NA,NA,NA,13,"gems-9"
"101","Al Jarreau","Ain't No Sunshine",21.31,13.31,47.31,31.77,27.15,32.92,23.69,11.69,18.31,28.17,28.31,15,0.69,3.54,3.92,"0Res4ooR61zc5T7m2Fswog",NA,NA,NA,NA,13,"gems-9"
"102","Lana Del Rey","Born to Die",21.05,9.05,38.79,26.21,28.58,4.21,9,7.63,35.74,24.74,6.61,21.68,0.87,1.89,3.26,"487OPlneJNni3NWC8SYqhW",NA,NA,NA,NA,20,"gems-9"
"103","Ambrosia","You're the Only Woman",14.35,8.96,35.31,31.15,21.12,27.35,17.5,2.73,10.62,22.18,22.42,6.67,0.88,1.35,3.04,"11qmuUlW5q5diLiVSOlsSF",NA,NA,NA,NA,25,"gems-9"
"104","Justin Timberlake","Cry Me a River",16.26,8.79,46.42,15.42,21,31.47,19.53,14.89,19.11,21.58,25.5,17,0.79,3.68,3.74,"7Lf7oSEVdzZqTA0kEDSlS5",NA,NA,NA,NA,19,"gems-9"
"105","Michael Bubl�","Feeling Good",13.92,10,33,21.92,24.92,15.58,13.33,12.75,5.33,20.75,14.46,9.04,0.46,2.83,3.5,"3I09LQbHS3NSU46Ly3tPpR",NA,NA,NA,NA,12,"gems-9"
"106","Diana Ross","Upside Down",23.71,18.53,33.65,31.59,24.29,55.41,32.41,2.65,1.65,26.35,43.91,2.15,0.88,2.53,3.53,"3pbtBomO4Zt5gGiqsYeiBH",NA,NA,NA,NA,17,"gems-9"
"107","Marianas Trench","Good To You",10.16,4.32,14.37,19.95,7.32,24.79,42.26,10.95,13.58,11.22,33.53,12.26,0.84,1.37,3.05,"3eDBBDWXkmH6chzPZhuajx",NA,NA,NA,NA,19,"gems-9"
"108","Prince & The Revolution","Purple Rain",28.21,31.5,46.86,15.71,15.71,9.79,28.36,7.64,14.93,27.6,19.07,11.29,0.83,1.79,3,"54X78diSLoUDI3joC2bjMz",NA,NA,NA,NA,16,"gems-9"
"109","Lily Allen","Air Balloon",18.37,16.95,14,23.84,18.05,46.63,21.37,6,0.26,18.24,34,3.13,0.85,1.79,3.05,"1DIS8YXZKxePLmY7Z8UC4I",NA,NA,NA,NA,19,"gems-9"
"110","Louis Armstrong","What a Wonderful World",41,25.29,53.43,54.14,52.64,42.57,17.64,3.14,11.79,45.3,30.11,7.46,0.86,3.43,3.5,"29U7stRjqHU6rMiS8BfaI9",NA,NA,NA,NA,14,"gems-9"
"111","Madonna","Gang Bang",17.94,22.69,10.25,5.56,9.06,29.94,40.06,25.31,6.06,13.1,35,15.69,0.87,1.5,2.81,"5IYWdpFJAeKLggc7B8xtJm",NA,NA,NA,NA,15,"gems-9"
"112","Electric Wizard","The Chosen Few",14.53,19.47,14.67,9.6,9.8,13.67,28.33,27,15,13.61,21,21,0.52,1.13,2.4,"5qN4DbKNNuIIe7xSlJPco0",NA,NA,NA,NA,15,"gems-9"
"113","Donna Summer","Autumn Changes",6.6,5.73,13.2,20.73,11.93,31.93,19,8.13,11.6,11.64,25.47,9.87,0.63,1.27,2.8,"4LldsyhaiUL5tcP5uxDBkx",NA,NA,NA,NA,15,"gems-9"
