,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,artist,title,Wonder,Transcendence,Nostalgia,Tenderness,Peacefulness,Joy,Power,Tension,Sadness,Sublimity,Vitality,Unease,ICC,Familiarity,Liking,Spotify ID,Youtube Clip,Youtube ID,Youtube Start-Time,Youtube End-Time,Path,genre
19,19,19,20,IU,The red shoes,27.62,19.38,18.75,15.19,11.31,49.75,41.69,18.94,0.94,18.45,45.72,9.94,0.88,1.19,2.62,3atsk5EWI5fNxLMIJnfYfJ,,,,,tracks/3atsk5EWI5fNxLMIJnfYfJ.mp3,jazz
20,20,20,21,Zero 7,In the Waiting Line,19.79,16.14,26.36,31.5,42.21,25.21,10.0,8.64,9.86,27.2,17.61,9.25,0.85,1.57,3.14,5ARrtxJLVCeTv5TWo1oKgC,,,,,tracks/5ARrtxJLVCeTv5TWo1oKgC.mp3,electronic
21,21,21,22,Jorge Ben Jor,"Mas, Que Nada!",22.36,25.86,36.93,31.57,42.29,31.93,13.29,13.57,12.21,31.8,22.61,12.89,0.74,2.5,2.93,6U03Orwr5Dxt8jahLnQpYV,,,,,tracks/6U03Orwr5Dxt8jahLnQpYV.mp3,jazz
22,22,22,23,Bobby Caldwell,Open Your Eyes,15.81,14.44,42.44,31.06,40.88,38.88,21.12,5.62,3.56,28.92,30.0,4.59,0.86,1.25,3.0,1Yrgyxebkguu4MGFkDoINo,,,,,tracks/1Yrgyxebkguu4MGFkDoINo.mp3,jazz
23,23,23,24,Fiona Apple,The First Taste,19.85,22.69,26.38,32.62,38.77,15.27,14.35,7.81,21.08,28.06,14.81,14.44,0.81,1.19,2.35,21Xc8hEIzv81jwiftI4hJB,,,,,tracks/21Xc8hEIzv81jwiftI4hJB.mp3,jazz
24,24,24,25,Tamar Braxton,Sound of Love,11.82,8.29,7.29,7.47,8.12,10.41,14.29,35.88,11.76,8.6,12.35,23.82,0.79,1.29,1.76,1QSNwan8EvZeJhuDag0aqX,,,,,tracks/1QSNwan8EvZeJhuDag0aqX.mp3,funk_soul
25,25,25,26,Cï¿½line Dion,Je crois toi,28.93,28.71,26.57,41.0,30.36,6.5,12.5,13.14,29.14,31.11,9.5,21.14,0.72,1.0,2.64,3CehtvHVAVPaaukPIIL67r,,,,,tracks/3CehtvHVAVPaaukPIIL67r.mp3,pop
26,26,26,27,Submotion Orchestra,Variations,10.39,7.39,6.44,25.33,33.83,4.28,2.39,5.83,6.94,16.68,3.33,6.39,0.87,1.0,2.11,3qzxORCDY3UpbvT7p7WYIE,,,,,tracks/3qzxORCDY3UpbvT7p7WYIE.mp3,electronic
27,27,27,28,Rilo Kiley,It Just Is,34.06,16.88,38.69,22.81,27.5,14.69,13.62,5.25,32.62,27.99,14.16,18.94,0.79,1.12,2.75,26tR002TUAcmtfBLR7hVnS,,,,,tracks/26tR002TUAcmtfBLR7hVnS.mp3,pop
28,28,28,29,The Weeknd,Wicked Games,32.95,25.26,30.0,46.89,35.26,23.26,37.0,12.58,11.68,34.07,30.13,12.13,0.76,1.84,3.37,6VwBbL8CzPiC4QV66ay7oR,,,,,tracks/6VwBbL8CzPiC4QV66ay7oR.mp3,electronic
29,29,29,30,John Farnham,Age of Reason,16.94,10.56,20.11,8.39,16.33,25.33,21.78,11.28,5.56,14.47,23.56,8.42,0.58,1.11,2.78,3LQde40NABYOH14hWse0Yi,,,,,tracks/3LQde40NABYOH14hWse0Yi.mp3,rock
30,30,30,31,Duffy,Rockferry,13.7,11.1,18.5,16.1,24.5,4.9,8.2,1.7,17.2,16.78,6.55,9.45,0.48,1.7,3.1,78twQ5XCFJMTE37ZSU0gsj,,,,,tracks/78twQ5XCFJMTE37ZSU0gsj.mp3,funk_soul
31,31,31,32,Sarah Vaughan,Misty,10.83,7.52,22.57,13.13,24.96,42.57,13.17,14.35,2.0,15.8,27.87,8.17,0.85,1.52,2.78,7gHFBNy0Qn86xGKJ9OdFTw,,,,,tracks/7gHFBNy0Qn86xGKJ9OdFTw.mp3,jazz
32,32,32,33,Avril Lavigne,Wish You Were Here,22.0,19.26,40.79,33.26,20.37,31.37,26.74,18.11,16.89,27.14,29.05,17.5,0.39,2.26,3.11,5XHf9PBxxHmJFuiDkGNIOA,,,,,tracks/5XHf9PBxxHmJFuiDkGNIOA.mp3,rock
33,33,33,34,October Tide,Blackness Devours,17.07,25.33,7.6,2.13,3.27,12.87,42.8,47.27,16.8,11.08,27.83,32.03,0.84,1.07,2.07,5KjDr2aEWTdOxdOs4gcuac,,,,,tracks/5KjDr2aEWTdOxdOs4gcuac.mp3,rock
34,34,34,35,Ridgewalkers,Find (Andy Moor Remix),29.93,33.86,28.14,20.71,18.86,40.64,46.5,23.5,12.57,26.3,43.57,18.04,0.68,1.36,2.64,5DpHrixQf7FfpAQJLAX2Fw,,,,,tracks/5DpHrixQf7FfpAQJLAX2Fw.mp3,electronic
35,35,35,36,Alcazar,This Is The World We Live In,18.29,20.47,30.18,13.94,11.94,49.0,45.12,6.88,2.12,18.96,47.06,4.5,0.85,2.41,3.18,6HuwtnWUE0Y7MKUvoOyb2F,,,,,tracks/6HuwtnWUE0Y7MKUvoOyb2F.mp3,pop
36,36,36,37,Dinah Washington,Cry Me a River,29.0,28.55,38.45,40.36,37.0,24.0,29.64,12.91,34.18,34.67,26.82,23.55,0.25,2.09,2.91,4ydtQJImyQg6UDFFZBzgxp,,,,,tracks/4ydtQJImyQg6UDFFZBzgxp.mp3,jazz
37,37,37,38,Boney M.,Rasputin,15.0,22.25,31.25,2.05,9.35,64.95,51.6,12.9,0.7,15.98,58.27,6.8,0.95,4.0,3.65,5jkFvD4UJrmdoezzT1FRoP,,,,,tracks/5jkFvD4UJrmdoezzT1FRoP.mp3,funk_soul
38,38,38,39,Donna Summer,Winter Melody,29.32,23.11,35.63,36.47,45.47,45.84,22.84,7.11,15.74,34.0,34.34,11.42,0.83,1.32,3.16,1zHOjqf8DqjNq6OB7Y5mrF,,,,,tracks/1zHOjqf8DqjNq6OB7Y5mrF.mp3,funk_soul
39,39,39,40,Tonight Alive,Let It Land,12.56,22.78,35.39,6.61,9.5,40.0,37.83,19.17,13.78,17.37,38.92,16.47,0.81,1.39,3.39,3aKPJyIFrJAPTPWs2yy0IX,,,,,tracks/3aKPJyIFrJAPTPWs2yy0IX.mp3,rock
40,40,40,41,My Dying Bride,Your River,9.57,13.71,13.71,1.24,8.05,6.48,29.57,42.0,14.67,9.26,18.02,28.33,0.87,1.05,2.43,6FMcHZ5FuBpPkD4IHVyrM9,,,,,tracks/6FMcHZ5FuBpPkD4IHVyrM9.mp3,rock
41,41,41,42,Sara Bareilles,Undertow,28.68,22.91,28.36,43.36,37.41,30.95,20.27,7.41,10.77,32.15,25.61,9.09,0.86,1.36,3.27,0tozhA4AZE7kDEvlcxCzP1,,,,,tracks/0tozhA4AZE7kDEvlcxCzP1.mp3,rock
42,42,42,43,Leona Lewis,Bleeding Love,18.39,13.67,44.61,35.89,22.94,30.67,37.22,3.78,20.44,27.1,33.94,12.11,0.78,3.72,4.0,7wZUrN8oemZfsEd1CGkbXE,,,,,tracks/7wZUrN8oemZfsEd1CGkbXE.mp3,pop
43,43,43,44,Anathema,Crestfallen,4.44,6.69,2.69,1.69,5.56,5.0,25.06,51.62,13.94,4.21,15.03,32.78,0.89,1.06,1.62,3Ca1PahHy0AowFpNwHzJM2,,,,,tracks/3Ca1PahHy0AowFpNwHzJM2.mp3,rock
44,44,44,45,Submotion Orchestra,Eyeline,25.67,18.73,12.67,10.87,14.73,10.93,23.67,14.2,11.6,16.53,17.3,12.9,0.45,1.07,2.33,2sqeVVvHRuskC1E4nA1Xls,,,,,tracks/2sqeVVvHRuskC1E4nA1Xls.mp3,electronic
45,45,45,46,September,R.I.P.,12.0,6.65,12.0,8.88,3.88,31.47,30.35,10.12,5.65,8.68,30.91,7.88,0.79,1.12,2.88,4BPyxkPrDW7tsb86HUnb04,,,,,tracks/4BPyxkPrDW7tsb86HUnb04.mp3,electronic
46,46,46,47,Djavan,Serrado,15.17,5.92,11.92,14.83,29.67,43.58,11.83,8.33,3.67,15.5,27.71,6.0,0.87,1.0,2.5,7EjRiBMib2EG0cdMEXavbC,,,,,tracks/7EjRiBMib2EG0cdMEXavbC.mp3,jazz
47,47,47,48,Christina Aguilera,Something's Got a Hold on Me,19.92,10.08,29.92,12.0,18.25,42.92,47.75,5.33,1.25,18.03,45.33,3.29,0.87,1.92,3.17,2CVMTJWBqbtaCWNWbcBZae,,,,,tracks/2CVMTJWBqbtaCWNWbcBZae.mp3,funk_soul
48,48,48,49,Ana Carolina,"Tï¿½ rindo, ï¿½?",15.8,9.85,18.2,27.45,30.3,25.65,16.1,10.05,1.65,20.32,20.88,5.85,0.84,1.15,2.65,65GmViOSKcP7jK0wNqRs8r,,,,,tracks/65GmViOSKcP7jK0wNqRs8r.mp3,jazz
49,49,49,50,The Whispers,And the Beat Goes On,23.65,15.5,30.55,18.55,24.85,51.3,23.7,11.1,5.75,22.62,37.5,8.43,0.84,1.95,3.15,7oQ1wkBmYSBEC2x7U08dvn,,,,,tracks/7oQ1wkBmYSBEC2x7U08dvn.mp3,funk_soul
50,50,50,51,Cobra Starship,"One Day, Robots Will Cry",12.38,21.52,28.52,14.86,13.24,43.05,46.38,19.05,5.0,18.1,44.71,12.02,0.87,1.43,3.1,76ohTRgQXmyTJrt8rgMbH2,,,,,tracks/76ohTRgQXmyTJrt8rgMbH2.mp3,rock
51,51,51,52,Yellowcard,Everywhere,23.27,34.18,32.09,6.0,7.09,44.55,39.09,15.36,12.18,20.53,41.82,13.77,0.71,2.36,3.91,4A3H0I1iSmYiHh5IScsBX5,,,,,tracks/4A3H0I1iSmYiHh5IScsBX5.mp3,rock
52,52,52,53,Portishead,Glory Box,29.18,16.09,33.55,36.73,25.09,17.73,13.36,2.27,13.09,28.13,15.55,7.68,0.56,2.09,3.45,3Ty7OTBNSigGEpeW2PqcsC,,,,,tracks/3Ty7OTBNSigGEpeW2PqcsC.mp3,electronic
53,53,53,54,Rihanna,Diamonds,43.0,21.82,35.55,23.55,24.73,58.91,47.36,4.18,5.82,29.73,53.14,5.0,0.78,4.0,4.27,1z9kQ14XBSN0r2v6fx4IdG,,,,,tracks/1z9kQ14XBSN0r2v6fx4IdG.mp3,pop
54,54,54,55,Al Green,Let's Stay Together,24.93,25.57,33.43,51.64,42.36,44.93,16.5,7.14,7.36,35.59,30.71,7.25,0.89,2.07,3.43,63xdwScd1Ai1GigAwQxE8y,,,,,tracks/63xdwScd1Ai1GigAwQxE8y.mp3,funk_soul
55,55,55,56,New Found Glory,This Disaster,13.71,16.14,20.64,5.14,7.57,35.71,40.36,26.0,10.29,12.64,38.04,18.14,0.77,1.36,2.57,2VHAQ84pzRe11YdMUDZzMZ,,,,,tracks/2VHAQ84pzRe11YdMUDZzMZ.mp3,rock
56,56,56,57,All Time Low,Time-Bomb,20.62,11.69,25.38,14.5,9.25,46.62,51.0,28.06,10.38,16.29,48.81,19.22,0.86,1.94,3.38,2qqn52sp9dDk2F9PdTrpwZ,,,,,tracks/2qqn52sp9dDk2F9PdTrpwZ.mp3,rock
57,57,57,58,The Ink Spots,I Don't Want to Set the World on Fire,21.25,16.19,52.0,32.88,51.19,19.38,6.38,1.25,17.69,34.7,12.88,9.47,0.92,2.25,3.38,777zXDJpBufzttU4AJ2dGO,,,,,tracks/777zXDJpBufzttU4AJ2dGO.mp3,jazz
58,58,58,59,The Weeknd,The Town,24.28,17.67,14.89,19.11,14.83,15.22,18.0,26.28,9.06,18.16,16.61,17.67,-0.22,1.78,2.0,7jGr8wzgwOVLuktY66qM5f,,,,,tracks/7jGr8wzgwOVLuktY66qM5f.mp3,electronic
59,59,59,60,"Earth, Wind & Fire",Boogie Wonderland,19.46,16.46,43.88,13.73,18.85,56.46,33.27,5.88,4.54,22.48,44.87,5.21,0.94,3.54,3.62,6ztstiyZL6FXzh4aG46ZPD,,,,,tracks/6ztstiyZL6FXzh4aG46ZPD.mp3,funk_soul
60,60,60,61,Sister Sledge,Frankie,22.0,12.56,46.12,39.69,37.88,49.06,21.12,7.19,11.69,31.65,35.09,9.44,0.89,1.44,2.75,6th7K3C0mmxk5AlT4x4oro,,,,,tracks/6th7K3C0mmxk5AlT4x4oro.mp3,funk_soul
61,61,61,62,The Andrews Sisters,In the Mood,24.67,18.53,30.4,6.93,13.8,56.13,36.27,7.93,0.8,18.87,46.2,4.37,0.87,1.53,3.07,6jO6eAQG1JW7fel2csJ5XQ,,,,,tracks/6jO6eAQG1JW7fel2csJ5XQ.mp3,jazz
62,62,62,63,Deee-Lite,Apple Juice Kissing,9.3,6.78,11.74,25.22,14.19,13.33,10.41,9.96,1.44,13.44,11.87,5.7,0.7,1.11,2.22,7fh5bhI5rzRBcSX9IKFNir,,,,,tracks/7fh5bhI5rzRBcSX9IKFNir.mp3,electronic
63,63,63,64,Shpongle,I Am You,9.93,15.43,2.79,2.79,1.86,20.29,17.57,32.64,1.86,6.56,18.93,17.25,0.79,1.07,2.14,3k3RK6cRZa165izv0rTv4Z,,,,,tracks/3k3RK6cRZa165izv0rTv4Z.mp3,electronic
64,64,64,65,Nicki Minaj,Starships,17.28,24.5,15.56,12.89,8.33,55.33,42.39,28.83,2.61,15.71,48.86,15.72,0.85,2.89,3.17,1oHNvJVbFkexQc0BpQp7Y4,,,,,tracks/1oHNvJVbFkexQc0BpQp7Y4.mp3,pop
65,65,65,66,Squirrel Nut Zippers,Low Down Man,17.5,15.08,31.33,34.5,34.08,5.92,3.75,9.33,24.67,26.5,4.83,17.0,0.76,1.25,2.67,0Ta1U180vOfj8LlhUM1Qvh,,,,,tracks/0Ta1U180vOfj8LlhUM1Qvh.mp3,jazz
66,66,66,67,George Benson,Turn Your Love Around,24.54,27.54,42.31,36.77,38.0,51.85,26.92,4.38,5.31,33.83,39.38,4.85,0.85,2.23,3.69,6a899bXlCuViXW2Qs8Rdqo,,,,,tracks/6a899bXlCuViXW2Qs8Rdqo.mp3,jazz
67,67,67,68,Itamar Assumpï¿½ï¿½o,Beijo na Boca,17.42,5.25,11.92,8.5,24.83,39.33,16.08,3.33,1.75,13.58,27.71,2.54,0.8,1.17,2.25,034M638G8hvIQ5WfSxJ9gS,,,,,tracks/034M638G8hvIQ5WfSxJ9gS.mp3,funk_soul
68,69,69,70,The Pointer Sisters,He's So Shy,16.14,14.71,32.0,34.43,21.21,28.64,24.21,6.21,8.57,23.7,26.43,7.39,0.74,1.29,2.93,6R9NqD0WX9sJYs6PbA5onu,,,,,tracks/6R9NqD0WX9sJYs6PbA5onu.mp3,funk_soul
69,70,70,71,James Brown,Funky Drummer,14.48,15.0,26.04,8.35,15.39,45.39,37.57,19.96,3.0,15.85,41.48,11.48,0.89,1.52,3.04,0VbpqlboEkGQ7Pu6juJljZ,,,,,tracks/0VbpqlboEkGQ7Pu6juJljZ.mp3,funk_soul
70,71,71,72,Atomic Kitten,It's OK!,13.36,19.73,26.55,22.18,34.82,28.91,16.27,5.64,15.91,23.33,22.59,10.77,0.59,1.82,2.36,7fQrbv4s2XyMwVCIKenI26,,,,,tracks/7fQrbv4s2XyMwVCIKenI26.mp3,pop
71,72,72,73,Vinï¿½cius de Moraes,Samba em Prelï¿½dio,29.77,18.15,35.23,37.15,32.31,14.85,4.92,2.15,19.85,30.52,9.88,11.0,0.78,1.08,3.38,7yYKjc8k6UrqeBig0bDeFy,,,,,tracks/7yYKjc8k6UrqeBig0bDeFy.mp3,jazz
72,73,73,74,Chet Baker,The Thrill Is Gone,33.83,27.0,37.08,41.42,55.08,3.67,3.0,6.67,47.08,38.88,3.33,26.88,0.88,1.42,2.75,0kKQreifydSOeqZzHkNW67,,,,,tracks/0kKQreifydSOeqZzHkNW67.mp3,jazz
73,74,74,75,Gino Vannelli,Wheels Of Life,28.74,13.58,38.16,48.89,31.26,17.84,18.63,1.37,19.0,32.13,18.24,10.18,0.85,1.58,2.95,7uE9ZeScOg28zFE7OHQxuR,,,,,tracks/7uE9ZeScOg28zFE7OHQxuR.mp3,jazz
74,75,75,76,The Chakachas,Jungle Fever,14.95,12.7,6.15,12.55,11.0,22.8,11.7,27.85,2.95,11.47,17.25,15.4,0.73,1.05,1.9,2QEhVc7hg5Z5yI8UPOSRk8,,,,,tracks/2QEhVc7hg5Z5yI8UPOSRk8.mp3,funk_soul
75,76,76,77,Jennifer Hudson,Moan,25.0,22.55,32.45,52.09,54.0,21.09,33.0,5.55,26.36,37.22,27.05,15.95,0.82,1.55,3.0,5jpo5CggeyVEQSHoXVhBqh,,,,,tracks/5jpo5CggeyVEQSHoXVhBqh.mp3,funk_soul
76,77,77,78,Bosson,One In A Million,23.65,13.65,25.53,34.82,20.47,37.0,21.76,6.29,14.12,23.62,29.38,10.21,0.81,2.06,2.94,3y1cXTre9LcmTxgqbKSqZY,,,,,tracks/3y1cXTre9LcmTxgqbKSqZY.mp3,pop
77,78,78,79,Melody Gardot,Worrisome Heart,29.67,22.17,32.17,37.25,37.33,28.5,24.75,15.08,14.08,31.72,26.62,14.58,0.22,1.42,2.5,3zh5km8gPDYMiWvmLTsos0,,,,,tracks/3zh5km8gPDYMiWvmLTsos0.mp3,jazz
78,79,79,80,Michael Jackson,Love Never Felt So Good,20.08,18.38,21.77,30.54,5.92,55.23,37.46,6.54,3.69,19.34,46.35,5.12,0.89,2.85,3.62,48td6xvpokdYwvbl3JIiXP,,,,,tracks/48td6xvpokdYwvbl3JIiXP.mp3,funk_soul
79,80,80,81,Emika,Drop the Other,27.39,32.0,19.33,12.61,22.17,23.0,34.5,26.17,11.67,22.7,28.75,18.92,0.52,1.17,3.06,1sHoqPtMfaZML6P77Q586a,,,,,tracks/1sHoqPtMfaZML6P77Q586a.mp3,electronic
80,81,81,82,MFSB,T.S.O.P. (The Sound Of Philadelphia),20.36,18.07,29.14,11.43,10.29,46.64,36.93,10.07,3.0,17.86,41.79,6.54,0.9,1.5,3.0,7kllQQPam6HumbUCIPSvHJ,,,,,tracks/7kllQQPam6HumbUCIPSvHJ.mp3,funk_soul
81,82,82,83,Avril Lavigne,I'm with You,17.94,8.17,48.61,39.22,22.39,14.17,18.56,4.61,15.89,27.27,16.36,10.25,0.88,2.72,3.56,1jlG3KJ3gdYmhfuySFfpO1,,,,,tracks/1jlG3KJ3gdYmhfuySFfpO1.mp3,rock
82,83,83,84,Sï¿½bastien Tellier,La Ritournelle,30.67,21.92,33.17,34.67,57.17,5.75,4.33,6.83,55.33,35.52,5.04,31.08,0.87,1.5,3.17,0qG1teoBvooRo7Z5Z8edCk,,,,,tracks/0qG1teoBvooRo7Z5Z8edCk.mp3,electronic
83,84,84,85,Strike,O Teu Olhar,15.45,10.36,8.73,3.91,5.82,40.82,36.18,22.55,0.45,8.85,38.5,11.5,0.82,1.18,3.18,4wGDJMUhcFy1j7XWo5ve4K,,,,,tracks/4wGDJMUhcFy1j7XWo5ve4K.mp3,rock
84,85,85,86,Chicane,Autumn Tactics,16.82,14.06,21.53,16.0,23.53,16.71,9.53,8.65,18.47,18.39,13.12,13.56,0.2,1.12,2.29,7LmG4gBYF7T53JVfgVVFKy,,,,,tracks/7LmG4gBYF7T53JVfgVVFKy.mp3,electronic
85,86,86,87,Katatonia,Teargas,12.53,20.67,14.8,7.27,4.33,14.33,20.87,25.13,27.13,11.92,17.6,26.13,0.58,1.2,2.4,31kIDIQFtTgVhV6KDwt1PV,,,,,tracks/31kIDIQFtTgVhV6KDwt1PV.mp3,rock
86,87,87,88,Kool & The Gang,Celebration,22.72,12.72,48.92,8.08,18.0,69.0,41.48,2.4,0.08,22.09,55.24,1.24,0.96,4.48,3.72,3K7Q9PHUWPTaknlbFPThn2,,,,,tracks/3K7Q9PHUWPTaknlbFPThn2.mp3,funk_soul
87,88,88,89,Cerrone,Give Me Love,24.82,19.59,35.47,16.76,25.12,39.88,27.94,14.12,10.88,24.35,33.91,12.5,0.64,1.76,2.94,30EaKbkhCzCAxVccAaYzGA,,,,,tracks/30EaKbkhCzCAxVccAaYzGA.mp3,funk_soul
88,89,89,90,We the Kings,All Again for You,15.16,13.26,27.95,11.26,10.11,61.32,43.53,12.84,9.53,15.55,52.42,11.18,0.94,1.32,3.79,1zMc2ZD35IDeYlNANbnF0w,,,,,tracks/1zMc2ZD35IDeYlNANbnF0w.mp3,rock
89,90,90,91,Jamiroquai,Automaton,18.94,21.31,8.69,5.44,8.38,39.66,31.03,28.66,1.38,12.55,35.34,15.02,0.91,1.5,2.84,42dJ29C11xlJTLkRVmKty1,,,,,tracks/42dJ29C11xlJTLkRVmKty1.mp3,funk_soul
90,92,92,93,Paradise Lost,True Belief,7.93,17.87,5.93,1.2,1.53,7.93,26.13,26.27,14.87,6.89,17.03,20.57,0.8,1.0,2.07,3mfwwUEFwXERswYBqhKcTC,,,,,tracks/3mfwwUEFwXERswYBqhKcTC.mp3,rock
91,93,93,94,Paramore,That's What You Get,14.0,12.78,34.0,8.91,6.74,37.35,31.61,8.57,3.96,15.29,34.48,6.26,0.91,2.26,3.04,1JdKrFyoU05abww0Zv0ayQ,,,,,tracks/1JdKrFyoU05abww0Zv0ayQ.mp3,rock
92,94,94,95,Diana Ross,The Best Years Of My Life,12.23,7.23,23.69,39.23,33.0,5.38,2.38,4.54,25.54,23.08,3.88,15.04,0.87,1.15,2.38,7xTAPIggS2K1UcTF0HXkak,,,,,tracks/7xTAPIggS2K1UcTF0HXkak.mp3,funk_soul
93,95,95,96,Flunk,Six Seven Times,22.89,20.56,28.11,21.67,36.0,14.28,14.94,5.89,26.17,25.84,14.61,16.03,0.72,1.44,2.78,2jknEB3TLUX5vEaLI4gttE,,,,,tracks/2jknEB3TLUX5vEaLI4gttE.mp3,electronic
94,96,96,97,Candlemass,Solitude,14.22,25.0,6.11,2.28,7.39,14.22,47.17,43.06,17.44,11.0,30.69,30.25,0.9,1.22,2.33,0v3WyEt2g04WFpfVwcnfXm,,,,,tracks/0v3WyEt2g04WFpfVwcnfXm.mp3,rock
