artist,title,Wonder,Transcendence,Nostalgia,Tenderness,Peacefulness,Joy,Power,Tension,Sadness,Spotify ID,Youtube ID,genre,Path
Imogen Heap,Goodnight And Go,2,1,2,3,3,3,1,2,1,0vfWzo75MKGYiQSiT5jEzt,Ugkx0_zmov0mmcvdoztrLoB4ya2XNEHl0YxG,pop,tracks/Ugkx0_zmov0mmcvdoztrLoB4ya2XNEHl0YxG.mp3
Norah Jones,Humble Me,5,4,5,5,5,1,2,1,5,7BboupyTdAr1nmMJZw0V4h,,jazz,tracks/7BboupyTdAr1nmMJZw0V4h.mp3
Knife Party,Bonfire,3,4,2,1,1,5,5,3,1,0QIYINh2AwmOmdu8CRYvlw,,electronic,tracks/0QIYINh2AwmOmdu8CRYvlw.mp3
Method Man,Part II,3,1,1,1,3,5,3,2,1,2n7h09QrGitVul66b2D8Re,UgkxrWMSp4Za-R9LoFhFoBBz_-kue64UEhtF,hip_hop,tracks/UgkxrWMSp4Za-R9LoFhFoBBz_-kue64UEhtF.mp3
Louis Armstrong,Mood Indigo,4,3,5,4,5,3,1,1,3,1Fo98RNzO78WnMtkZKZXMW,,jazz,tracks/1Fo98RNzO78WnMtkZKZXMW.mp3
Lorde,Royals,3,3,5,4,4,5,5,2,2,2dLLR6qlu5UJ5gk0dKz0h3,,pop,tracks/2dLLR6qlu5UJ5gk0dKz0h3.mp3
SIDO,Fuffies Im Club,1,2,1,1,1,4,2,5,1,1A0b0yR0quuBByKQzASAvf,UgkxiDWo6SHEUI4jBlKNkh5hXdY_TZh5n84U,hip_hop,tracks/UgkxiDWo6SHEUI4jBlKNkh5hXdY_TZh5n84U.mp3
Wagner,"Tristan & Isolde, Liebestod",4,2,2,1,1,4,3,5,1,,Ugkxk6c-yPWFHcuD1axTM9D-EJDv32Z0csjQ,classic,tracks/Ugkxk6c-yPWFHcuD1axTM9D-EJDv32Z0csjQ.mp3
Hey Monday,Set Off,1,3,2,2,1,5,5,2,1,0D5q7zxMaeQ9ekjuTQiryo,,rock,tracks/0D5q7zxMaeQ9ekjuTQiryo.mp3
"Chunk! No, Captain Chunk!",So Close and Yet So Far,2,1,4,2,2,5,5,3,2,4nYV0FQkrOXzruL4xFlKmL,,rock,tracks/4nYV0FQkrOXzruL4xFlKmL.mp3
Eva Cassidy,True Colors,3,2,5,4,5,3,2,1,2,7iYvpjSQ9OuXTAMGSRiLJZ,,jazz,tracks/7iYvpjSQ9OuXTAMGSRiLJZ.mp3
Tï¿½lï¿½popmusik,Genetic World,2,2,2,1,3,2,2,2,1,0uKrhHBDUQ4w5fv4qwOubP,,electronic,tracks/0uKrhHBDUQ4w5fv4qwOubP.mp3
Kool & The Gang,Steppin' Out,4,3,4,3,3,5,4,2,1,05NdLBmUVkXlBpel2QR07Y,,funk_soul,tracks/05NdLBmUVkXlBpel2QR07Y.mp3
Mozart,"Don Giovanni, ""La ci darem la mano""",2,2,4,5,4,2,1,2,2,,UgkxaYlm8i53IyfuyxeXXx1QvKR-axs3MYfn,classic,tracks/UgkxaYlm8i53IyfuyxeXXx1QvKR-axs3MYfn.mp3
Childish Gambino,Redbone,2,2,4,4,4,5,1,3,1,0wXuerDYiBnERgIpbb3JBR,UgkxxKNS5myAtrxzpDH5xcgjbr1xSkc8RKoG,pop,tracks/0wXuerDYiBnERgIpbb3JBR.mp3
My Dying Bride,Your River,2,2,2,1,2,1,4,5,2,6FMcHZ5FuBpPkD4IHVyrM9,,rock,tracks/6FMcHZ5FuBpPkD4IHVyrM9.mp3
Shakira,Hips Don't Lie,5,1,3,2,3,5,5,2,1,3ZFTkvIE7kyPt6Nu3PEa7V,UgkxNluYAMzINxUeKOeoMkF2rxCLFUF9XOX1,pop,tracks/UgkxNluYAMzINxUeKOeoMkF2rxCLFUF9XOX1.mp3
Kendrick Lamar,Rigamortus,2,1,1,1,2,5,4,5,1,2lD6AoA8qf2t4Dkf2TcmNK,Ugkx4ADkHLGNj1m5ztwo08fC9cfse41HUoAj,hip_hop,tracks/Ugkx4ADkHLGNj1m5ztwo08fC9cfse41HUoAj.mp3
The Pointer Sisters,He's So Shy,3,2,5,5,3,4,4,1,2,6R9NqD0WX9sJYs6PbA5onu,,funk_soul,tracks/6R9NqD0WX9sJYs6PbA5onu.mp3
Bosson,One In A Million,4,2,4,5,3,5,3,1,2,3y1cXTre9LcmTxgqbKSqZY,,pop,tracks/3y1cXTre9LcmTxgqbKSqZY.mp3
Jay-Z,The Story Of OJ,3,2,2,2,4,5,3,3,1,6JpN5w95em8SODPiM7W2PH,Ugkxwm41Q5LmH_RIy9Az47Y2TT8x2u_nW7f_,hip_hop,tracks/Ugkxwm41Q5LmH_RIy9Az47Y2TT8x2u_nW7f_.mp3
Princess Chelsea,When The World Turns Grey,3,4,4,3,4,1,2,2,4,3Oe4aYH6ifYIIYsX2isIR4,,electronic,tracks/3Oe4aYH6ifYIIYsX2isIR4.mp3
Teena Marie,365,3,2,4,5,4,5,4,2,1,7w7OoMSngihtJTSbG8HLWV,,funk_soul,tracks/7w7OoMSngihtJTSbG8HLWV.mp3
Faithless,Insomnia,1,1,1,1,2,1,1,5,1,7gWc0QEt2hoIkMv3XxPY1T,,electronic,tracks/7gWc0QEt2hoIkMv3XxPY1T.mp3
Akua Naru,Poetry: How Does It Feel,3,2,3,4,5,2,1,2,1,0SQg86odv33piyPWPgNpBM,UgkxaI7IEJFGmNuo3apwunshxwOL6L0qkv-L,hip_hop,tracks/UgkxaI7IEJFGmNuo3apwunshxwOL6L0qkv-L.mp3
Diana Krall,The Look Of Love,4,2,5,5,5,2,1,1,2,3CDHydgW0ssTh59f0jy1y3,,jazz,tracks/3CDHydgW0ssTh59f0jy1y3.mp3
Chico Buarque,Sonho De Um Carnaval,2,2,3,3,5,3,1,1,2,6VlapIlYfqtoiWsE0DZUsE,,jazz,tracks/6VlapIlYfqtoiWsE0DZUsE.mp3
Tove Lo,Not On Drugs (Ali Payami Remix),5,2,4,3,2,4,5,2,2,3LIwnakr43o8zMLnsHVye9,,funk_soul,tracks/3LIwnakr43o8zMLnsHVye9.mp3
St. Vincent,I Prefer Your Love,3,3,4,2,5,1,2,1,3,0Snb87Z4Zdn6YFMicWA7gx,,pop,tracks/0Snb87Z4Zdn6YFMicWA7gx.mp3
Camila,Mientes,4,1,3,5,4,3,1,1,2,5EhzE6HJaCcLFrf5rPqvpk,,pop,tracks/5EhzE6HJaCcLFrf5rPqvpk.mp3
Ridgewalkers,Find (Andy Moor Remix),4,5,4,3,3,5,5,4,2,5DpHrixQf7FfpAQJLAX2Fw,,electronic,tracks/5DpHrixQf7FfpAQJLAX2Fw.mp3
Zara Larsson,Lush Life,4,1,3,1,2,5,3,1,1,1rIKgCH4H52lrvDcz50hS8,Ugkxw_lqLsqg-q51fa3xN3ZizS8en_o0TgQz,pop,tracks/Ugkxw_lqLsqg-q51fa3xN3ZizS8en_o0TgQz.mp3
Jedi Mind Tricks,Deathbed Doctrine,2,2,1,1,1,5,5,3,1,1i74MnweHIH0Lt4upFKP9I,UgkxZf3ZvxAYVnURNwwMij2hPwJpcszJE8nv,hip_hop,tracks/UgkxZf3ZvxAYVnURNwwMij2hPwJpcszJE8nv.mp3
Mozart,Overture - Marriage Of Figaro,5,5,4,2,5,5,5,2,1,,UgkxIHD7cHxBW6rvMSwLwgllUy30Z--NUcSZ,classic,tracks/UgkxIHD7cHxBW6rvMSwLwgllUy30Z--NUcSZ.mp3
Ella Fitzgerald & Louis Armstrong,Cheek to Cheek,4,2,5,5,5,4,2,2,1,33jt3kYWjQzqn3xyYQ5ZEh,,jazz,tracks/33jt3kYWjQzqn3xyYQ5ZEh.mp3
The Whispers,Rock Steady,2,2,5,2,2,5,3,1,1,1YCsTFttuHAzgfEWKdOb9K,,funk_soul,tracks/1YCsTFttuHAzgfEWKdOb9K.mp3
Stan Getz,Sï¿½ Danï¿½o Samba,4,2,4,2,4,5,3,2,1,5je0CDv1Z1hT82Nek1Fjhl,,jazz,tracks/5je0CDv1Z1hT82Nek1Fjhl.mp3
Elgar,Pomp and Circumstance (1. Marsch),3,3,1,1,1,5,5,3,1,,UgkxtGH8qKRGozy2v3JD0n2Sc3Jx9r-mBppL,classic,tracks/UgkxtGH8qKRGozy2v3JD0n2Sc3Jx9r-mBppL.mp3
Carpenters,We've Only Just Begun,4,3,5,5,5,4,1,1,2,3m167vBQI5YLK0a1m6L6Y1,,pop,tracks/3m167vBQI5YLK0a1m6L6Y1.mp3
Joss Stone,Headturner,2,2,5,2,1,5,5,4,1,7MX14dwZzEIg84qKdlWTHv,,funk_soul,tracks/7MX14dwZzEIg84qKdlWTHv.mp3
Kendrick Lamar,King Kunta,1,2,2,1,1,5,5,4,1,0N3W5peJUQtI4eyR6GJT5O,,funk_soul,tracks/0N3W5peJUQtI4eyR6GJT5O.mp3
Sï¿½bastien Tellier,La Ritournelle,4,3,5,5,5,1,1,1,5,0qG1teoBvooRo7Z5Z8edCk,,electronic,tracks/0qG1teoBvooRo7Z5Z8edCk.mp3
Mozart,"Gran Partita, 3. Satz",4,2,3,4,5,1,1,2,1,,Ugkx_0m0f5hs-LgUaJ1tJon-UoosrY5s_w99,classic,tracks/Ugkx_0m0f5hs-LgUaJ1tJon-UoosrY5s_w99.mp3
Berg,"Quartett, op. 3",2,3,1,1,1,2,1,5,1,,UgkxFJTO33h-6oPOm8nOARg7Eywds9l-2qrm,classic,tracks/UgkxFJTO33h-6oPOm8nOARg7Eywds9l-2qrm.mp3
Katy Perry,Swish Swish,3,1,1,1,2,5,5,3,1,3OtMnyUaiipcAT23A8liyi,UgkxBx01LLxIBM3BpHQT2zm-X7NtyLZJHfz3,pop,tracks/UgkxBx01LLxIBM3BpHQT2zm-X7NtyLZJHfz3.mp3
Louis Armstrong,What a Wonderful World,5,4,5,5,5,5,3,1,2,29U7stRjqHU6rMiS8BfaI9,,jazz,tracks/29U7stRjqHU6rMiS8BfaI9.mp3
Bjï¿½rk,Possibly Maybe (Live),2,2,2,3,3,2,1,3,3,4SngFKTnu9FbOldhGvHUlG,,electronic,tracks/4SngFKTnu9FbOldhGvHUlG.mp3
VersaEmerge,Mind Reader,2,2,3,2,1,3,5,4,2,2b9ge09fnhEVVmkS8BjqRu,,rock,tracks/2b9ge09fnhEVVmkS8BjqRu.mp3
Biggie Smalls,Hypnotize,5,3,5,2,4,5,4,2,1,6Tsu3OsuMz4KEGKbOYd6A0,Ugkxbp2QRLTD6BTCpZW-yKc0OFZeAW5I8r09,hip_hop,tracks/Ugkxbp2QRLTD6BTCpZW-yKc0OFZeAW5I8r09.mp3
Edu Lobo,Candeias,4,3,4,5,5,2,2,1,3,50dHwlPsvC4Gp16DifoPOl,,jazz,tracks/50dHwlPsvC4Gp16DifoPOl.mp3
Massive Attack,Mezzanine,2,4,3,1,3,2,3,5,3,67Hna13dNDkZvBpTXRIaOJ,,electronic,tracks/67Hna13dNDkZvBpTXRIaOJ.mp3
Diana Ross,Upside Down,4,3,5,5,4,5,5,1,1,3pbtBomO4Zt5gGiqsYeiBH,,funk_soul,tracks/3pbtBomO4Zt5gGiqsYeiBH.mp3
Patti LaBelle,Over The Rainbow,5,4,4,3,2,3,5,2,1,3e7isfNT5Z8TSms4zPkMPV,,jazz,tracks/3e7isfNT5Z8TSms4zPkMPV.mp3
Carly Rae Jepsen,Call Me Maybe,4,1,5,1,2,5,4,2,1,20I6sIOMTCkB6w7ryavxtO,Ugkx7nuzh5p4B3mymnX8p7pciy6U4bGO9ZXG,pop,tracks/Ugkx7nuzh5p4B3mymnX8p7pciy6U4bGO9ZXG.mp3
High on Fire,Rumors of War,2,1,2,1,1,2,5,5,1,33XdEVFV3YFrKQ0y99t6Sf,,rock,tracks/33XdEVFV3YFrKQ0y99t6Sf.mp3
Nina Simone,Sinnerman,3,3,2,2,3,5,3,4,1,5xRP5iyVdGglqlY4Vcjhkx,,jazz,tracks/5xRP5iyVdGglqlY4Vcjhkx.mp3
Madonna,Intervention,3,4,3,3,2,5,5,2,2,7BxLHR4ApH0n4rx10KAWOo,,pop,tracks/7BxLHR4ApH0n4rx10KAWOo.mp3
September,R.I.P.,2,1,2,2,1,5,4,2,1,4BPyxkPrDW7tsb86HUnb04,,electronic,tracks/4BPyxkPrDW7tsb86HUnb04.mp3
Kelly Clarkson,Breakaway,4,4,5,4,5,3,3,1,3,3xrn9i8zhNZsTtcoWgQEAd,,pop,tracks/3xrn9i8zhNZsTtcoWgQEAd.mp3
Kings of Leon,Sex On Fire,3,3,4,3,2,5,5,1,1,0ntQJM78wzOLVeCUAW7Y45,UgkxeipZj-Geg6h0swKe_l1n5xckMLymaiBf,pop,tracks/UgkxeipZj-Geg6h0swKe_l1n5xckMLymaiBf.mp3
CunninLynguists,Love Ain't,2,3,3,1,2,5,5,3,1,6qfna7A7WvUwyNoqVwbhnc,UgkxlI263XMJfcPHUJwbehVTwCNmkArawAfE,hip_hop,tracks/UgkxlI263XMJfcPHUJwbehVTwCNmkArawAfE.mp3
Lily Allen,Fuck You,4,1,3,1,4,5,5,2,1,6ylAVPbjRQoNY0khgh63Jf,UgkxNxvXBP4fzk9Y_nNCKiyXZmnPaPkbt-Rm,pop,tracks/6ylAVPbjRQoNY0khgh63Jf.mp3
"Earth, Wind & Fire",Mighty Mighty,2,1,2,1,1,4,3,3,1,3HFGDi2zGIgdXTocV5k2cs,,funk_soul,tracks/3HFGDi2zGIgdXTocV5k2cs.mp3
George Michael,Careless Whisper,5,5,5,5,5,5,5,2,5,4jDmJ51x1o9NZB5Nxxc7gY,,pop,tracks/4jDmJ51x1o9NZB5Nxxc7gY.mp3
Post Malone,Congratulations,3,1,4,1,4,5,4,2,1,3a1lNhkSLSkpJE4MSHpDu9,UgkxjrIgYcrqFAJNCFiuffHJETXyCoL3-eMX,hip_hop,tracks/UgkxjrIgYcrqFAJNCFiuffHJETXyCoL3-eMX.mp3
We the Kings,All Again for You,2,2,4,2,2,5,5,2,2,1zMc2ZD35IDeYlNANbnF0w,,rock,tracks/1zMc2ZD35IDeYlNANbnF0w.mp3
Crystal Castles,Pap Smear,3,3,1,1,2,2,3,4,1,2RuNFmIS9tzrEMRBeVFt5c,,electronic,tracks/2RuNFmIS9tzrEMRBeVFt5c.mp3
Five for fighting,Easy Tonight,2,3,5,4,4,4,2,2,1,57PHqrPsX6E7OX9LeKSo9Q,UgkxM7QItiIp2cz1B295WAqIJIkGqlE7qAyn,pop,tracks/UgkxM7QItiIp2cz1B295WAqIJIkGqlE7qAyn.mp3
Nina Simone,That's All I Ask,4,3,5,5,4,2,3,1,5,5uI8omnLtzW4xTqJ5AoQtT,,jazz,tracks/5uI8omnLtzW4xTqJ5AoQtT.mp3
Tracy Chapman,Fast Car,4,3,5,5,5,3,1,1,2,2M9ro2krNb7nr7HSprkEgo,UgkxFYKP3k8jH6kNkXl5mgSK7Ag_DrqVs8C4,pop,tracks/UgkxFYKP3k8jH6kNkXl5mgSK7Ag_DrqVs8C4.mp3
Santigold,You'll Find A Way,5,3,2,1,2,5,5,4,1,1ZUj6t3goYbtWrCKFnwzIf,,electronic,tracks/1ZUj6t3goYbtWrCKFnwzIf.mp3
Eminem,Shake That,2,1,2,1,2,5,2,2,1,0fGh0trRN1xz3s41r7V5ce,WrjwGPb0Hvw?start=167,hip_hop,tracks/0fGh0trRN1xz3s41r7V5ce.mp3
The Moody Blues,Melancholy Man,3,4,3,2,3,4,5,3,2,1NeQzAqahRYI09bgLbhVFN,,rock,tracks/1NeQzAqahRYI09bgLbhVFN.mp3
Infected Mushroom,Here We Go Go Go,3,4,2,1,1,5,5,3,1,5wTudWQXd6Sjy6nH22fsYv,,electronic,tracks/5wTudWQXd6Sjy6nH22fsYv.mp3
Fall Out Boy,Get Busy Living or Get Busy Dying (Do Your Part to Save the Scene and Stop Going to Shows),2,3,1,2,1,5,5,3,1,4903HFfvLIQ8ujvQ0ARNGI,,rock,tracks/4903HFfvLIQ8ujvQ0ARNGI.mp3
Girls Aloud,I'll Stand by You,5,5,5,5,5,4,5,2,4,5AEAf1PGC0B6Z1iVE1j8oY,,pop,tracks/5AEAf1PGC0B6Z1iVE1j8oY.mp3
Beethoven,Sinfonie Nr. 7,2,3,5,3,5,1,2,1,2,,UgkxVWL1RdWZqv5Co5Obf6nvZUrtWrunrGeJ,classic,tracks/UgkxVWL1RdWZqv5Co5Obf6nvZUrtWrunrGeJ.mp3
Imogen Heap,Loose Ends,1,1,2,3,1,5,3,3,2,48Z9C1l1LfgpPxuQpfW2n6,,electronic,tracks/48Z9C1l1LfgpPxuQpfW2n6.mp3
Karma Fields,Build The Cities (feat. Kerli),1,2,1,1,1,4,5,4,1,50fO3coGeBVITFxiYlHSDs,,electronic,tracks/50fO3coGeBVITFxiYlHSDs.mp3
Salt-N-Pepa,Shoop,3,2,2,1,2,5,5,1,1,0Pu71wxadDlB8fJXfjIjeJ,UgkxI8XA0Ss2SLFsfghG7NqcNGfMsRxxpZYv,hip_hop,tracks/UgkxI8XA0Ss2SLFsfghG7NqcNGfMsRxxpZYv.mp3
Gnarls Barkley,Just a Thought,3,2,3,2,2,2,3,5,5,5xNUIReo5O6W1LRp2OKJty,,funk_soul,tracks/5xNUIReo5O6W1LRp2OKJty.mp3
Neurosis,Fear and Sickness,2,2,1,1,1,1,5,5,1,2sXYiWVdddj45DruzNKJGC,,rock,tracks/2sXYiWVdddj45DruzNKJGC.mp3
Madonna,He's a Man,1,1,2,2,2,2,3,2,2,4714JHYV5kiMKsuo8eP41E,,jazz,tracks/4714JHYV5kiMKsuo8eP41E.mp3
Jamie Woon,Shoulda,2,2,3,5,5,2,1,2,3,6I39hUKfIBsPBLX42jE3Dk,,electronic,tracks/6I39hUKfIBsPBLX42jE3Dk.mp3
The Whispers,And the Beat Goes On,4,2,4,3,4,5,4,2,1,7oQ1wkBmYSBEC2x7U08dvn,,funk_soul,tracks/7oQ1wkBmYSBEC2x7U08dvn.mp3
Sarah Vaughan,Misty,2,1,4,2,4,5,2,2,1,7gHFBNy0Qn86xGKJ9OdFTw,,jazz,tracks/7gHFBNy0Qn86xGKJ9OdFTw.mp3
Rachmaninow,"3. Klavierkonzert, 3. Satz",3,3,2,1,1,4,4,5,1,,UgkxtUia2ykcbGRBiNUvQhYOLsnIvm9IlsWW,classic,tracks/UgkxtUia2ykcbGRBiNUvQhYOLsnIvm9IlsWW.mp3
Savage Garden,Hold Me,2,1,4,3,2,3,3,1,1,5z7UgjxvvKBTf3qZMDvddZ,,pop,tracks/5z7UgjxvvKBTf3qZMDvddZ.mp3
Sly & The Family Stone,(You Caught Me) Smilin',1,1,3,2,3,4,3,2,2,5XTiyBLVLjqhAGRcJBUC5F,,funk_soul,tracks/5XTiyBLVLjqhAGRcJBUC5F.mp3
Dj Shadow,Building Steam With A Grain of Salt,2,2,1,1,2,3,2,5,1,4cucslsiEgezV2o900Ykg3,,hip_hop,tracks/4cucslsiEgezV2o900Ykg3.mp3
Eliane Elias,Time Alone,2,2,4,5,5,1,1,1,3,1hYd1uyB9HQpf4icjtBQoB,,jazz,tracks/1hYd1uyB9HQpf4icjtBQoB.mp3
Philanthrope,pueblo,2,3,4,3,5,2,1,1,1,3oYUtjjvbSxN40CQ71ZvTd,,hip_hop,tracks/3oYUtjjvbSxN40CQ71ZvTd.mp3
Air Supply,The One That You Love,3,3,4,5,3,3,2,1,4,3FDAd5vW4P7xe1GBNOLyfD,,rock,tracks/3FDAd5vW4P7xe1GBNOLyfD.mp3
Sia,Don't Bring Me Down,3,3,3,3,3,2,2,2,5,4XSBnZBRdrIQzbIvmysvuC,,electronic,tracks/4XSBnZBRdrIQzbIvmysvuC.mp3
Morcheeba,Rome Wasn't Built in a Day,4,3,5,5,5,4,3,2,2,6lsumzVFKP9SnfKcuGwqVp,,pop,tracks/6lsumzVFKP9SnfKcuGwqVp.mp3
"Earth, Wind & Fire",Let's Groove,5,4,5,5,4,5,5,2,1,3koCCeSaVUyrRo3N2gHrd8,,funk_soul,tracks/3koCCeSaVUyrRo3N2gHrd8.mp3
The Format,I'm Actual,3,3,5,4,2,3,4,2,3,2eHZ6UoAycNv99qKz4PVPg,,pop,tracks/2eHZ6UoAycNv99qKz4PVPg.mp3
Ravel,Bolï¿½ro,2,3,2,2,3,3,4,2,1,,UgkxIHGrjKJm-19dI7CqzycTYSj-Yi11Ex34,classic,tracks/UgkxIHGrjKJm-19dI7CqzycTYSj-Yi11Ex34.mp3
The Beatles,Let It Be,5,4,5,5,5,4,2,1,2,7iN1s7xHE4ifF5povM6A48,UgkxeQzl6iTLYXcapbCRDdFnu72hh36c4zrh,pop,tracks/7iN1s7xHE4ifF5povM6A48.mp3
Mayday Parade,Even Robots Need Blankets,3,3,5,5,3,4,3,1,2,1NivdSEUqwvnC6MzO8VZiG,,rock,tracks/1NivdSEUqwvnC6MzO8VZiG.mp3
Bon Jovi,Livin On A Prayer,4,2,4,1,2,5,5,2,1,37ZJ0p5Jm13JPevGcx4SkF,Ugkx1Hg6Vaur-0wpdBAYuTD9Axnx8hIk9Txb,pop,tracks/Ugkx1Hg6Vaur-0wpdBAYuTD9Axnx8hIk9Txb.mp3
Lykke Li,I Follow Rivers,3,3,2,4,5,5,4,2,2,4Jv7lweGIUOFQ7Oq2AtAh9,,pop,tracks/4Jv7lweGIUOFQ7Oq2AtAh9.mp3
Deee-Lite,Apple Juice Kissing,2,1,2,4,2,2,2,2,1,7fh5bhI5rzRBcSX9IKFNir,,electronic,tracks/7fh5bhI5rzRBcSX9IKFNir.mp3
Jeff Buckley,Hallelujah,5,5,5,5,5,2,1,1,4,3pRaLNL3b8x5uBOcsgvdqM,Ugkx3Nc814TcxO-G_AXns5Xue2NuEcobit8S,pop,tracks/Ugkx3Nc814TcxO-G_AXns5Xue2NuEcobit8S.mp3
OutKast,Roses,3,1,2,1,3,5,3,2,1,6bUNEbXT7HovLW6BgPCBsb,Ugkxi_bJRX4Fid-vQZze8VEWJCL281moKEan,pop,tracks/Ugkxi_bJRX4Fid-vQZze8VEWJCL281moKEan.mp3
Carlos Santana,Smooth,3,1,2,2,2,5,4,2,1,0n2SEXB2qoRQg171q7XqeW,Ugkxa9WPgW3Wr2q5p7RbL6ZNiDjGkWWpCEFk,pop,tracks/Ugkxa9WPgW3Wr2q5p7RbL6ZNiDjGkWWpCEFk.mp3
Black Eyed Peas,Just Can't Get Enough,2,2,3,2,3,4,2,1,1,3JA9Jsuxr4xgHXEawAdCp4,UgkxuQwwZ90ruj0orcBQAjAnFL3mkurIBlLs,pop,tracks/UgkxuQwwZ90ruj0orcBQAjAnFL3mkurIBlLs.mp3
Tok Tok Tok,Walk on the Wild Side,5,4,5,4,5,5,4,2,1,78G0LEqrs8HmEwhb75nYXQ,,jazz,tracks/78G0LEqrs8HmEwhb75nYXQ.mp3
Brahms,"Sonate Nr. 2 fï¿½r Klarinette, 1. Satz",3,4,5,5,5,3,1,1,1,,Ugkxm14v7zN8tkTO9rb9PQWL08fFY_zEkLRy,classic,tracks/Ugkxm14v7zN8tkTO9rb9PQWL08fFY_zEkLRy.mp3
Karrin Allyson,Moanin',4,3,4,3,5,5,2,2,1,2FcKhzTwtj5wKdri7bXBMK,,jazz,tracks/2FcKhzTwtj5wKdri7bXBMK.mp3
John Farnham,Age of Reason,3,2,3,2,3,4,3,2,1,3LQde40NABYOH14hWse0Yi,,rock,tracks/3LQde40NABYOH14hWse0Yi.mp3
Al Green,Let's Stay Together,4,4,5,5,5,5,3,1,1,63xdwScd1Ai1GigAwQxE8y,,funk_soul,tracks/63xdwScd1Ai1GigAwQxE8y.mp3
Sarah McLachlan,Elsewhere,3,2,5,5,5,1,1,1,5,1hBi66N1p1QyvFTHjnH2jv,,rock,tracks/1hBi66N1p1QyvFTHjnH2jv.mp3
Chris de Burgh,The Lady in Red,5,4,5,5,5,2,2,1,5,1GeNWyZtCHbcp3ZWp8GTOO,,rock,tracks/1GeNWyZtCHbcp3ZWp8GTOO.mp3
Phil Collins,Against All Odds (Take a Look at Me Now),5,3,5,5,5,3,3,1,3,63CHa6rmamv9OsehkRD8oz,,rock,tracks/63CHa6rmamv9OsehkRD8oz.mp3
OutKast,Hey Ya!,2,1,5,1,2,5,5,1,1,2PpruBYCo4H7WOBJ7Q2EwM,,funk_soul,tracks/2PpruBYCo4H7WOBJ7Q2EwM.mp3
Steely Dan,Do It Again,3,1,3,2,3,5,3,1,1,2BstRQGodshjGpeDGQiNgo,Ugkx3zDuvKgpZ8dufXa5tiAnYFUgRm-hcxQw,pop,tracks/Ugkx3zDuvKgpZ8dufXa5tiAnYFUgRm-hcxQw.mp3
Burial,Broken Home,1,2,2,1,2,1,2,5,1,69P4h7GB5xQlIU6v1Qv7GN,,electronic,tracks/69P4h7GB5xQlIU6v1Qv7GN.mp3
Vivaldi,Die 4 Jahreszeiten (Frï¿½hling),3,3,4,1,3,4,4,2,1,,UgkxYglz416a9J3po5WfsLRcI_YPLpPtQsdb,classic,tracks/UgkxYglz416a9J3po5WfsLRcI_YPLpPtQsdb.mp3
